pdb_id,uniprot_id,protein_family,enzyme_number
6DNB,P17174,Belongs to the class-I pyridoxal-phosphate-dependent aminotransferase family,2.6.1.1; 2.6.1.3
5J34,P93832,Belongs to the isocitrate and isopropylmalate dehydrogenases family,1.1.1.85
2VOA,O29675,Belongs to the DNA repair enzymes AP/ExoA family,
2WB6,Q70LC3,,
1TQG,Q56310,,2.7.13.3
5PRP,O95696,,
7NG2,S8F6K2,,
5EPZ,P03950,Belongs to the pancreatic ribonuclease family,3.1.27.-
2C1I,Q8DP63,,3.5.1.104
2GCH,P00766,Belongs to the peptidase S1 family,3.4.21.1
3LAT,O33635,,
5WZQ,G5ELM1,,
1A3O,P69905,Belongs to the globin family,
1A3O,P68871,Belongs to the globin family,
4Q5P,P00044,Belongs to the cytochrome c family,
2J9J,P03369,,
3F02,Q99574,Belongs to the serpin family,
8K76,Q8R6D8,,
3ZQV,P00138,,
7LXF,A6NGG8,,
7AAH,Q8WU39,Belongs to the MZB1 family,
2NYC,P12904,Belongs to the 5'-AMP-activated protein kinase gamma subunit family,
7OXX,P29373,Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family,
2X4D,Q9H008,Belongs to the HAD-like hydrolase superfamily,3.1.3.-; 3.6.1.1
2CWM,P81364,Belongs to the leguminous lectin family,
6JED,P52699,Belongs to the metallo-beta-lactamase superfamily. Class-B beta-lactamase family,3.1.26.-; 3.5.2.6
2OL8,P0CL66,Belongs to the OspA lipoprotein family,
6T5M,Q9I5E2,Belongs to the isocitrate lyase/PEP mutase superfamily. Methylisocitrate lyase family,4.1.3.30
5D5K,Q9UGN5,Belongs to the ARTD/PARP family,2.4.2.30
5D5K,P52293,Belongs to the importin alpha family,
1LFA,P20701,Belongs to the integrin alpha chain family,
5HGJ,P56199,Belongs to the integrin alpha chain family,
1OFS,P02867,Belongs to the leguminous lectin family,
3ZJH,Q8TLY9,,
1SNB,P54135,Belongs to the long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Alpha subfamily,
5DMU,D1Z0H5,,
6G44,A0A1L4BK98,,
5P80,P11838,Belongs to the peptidase A1 family,3.4.23.22
3TC6,Q06121,Belongs to the TrpC family,4.1.1.48
1W79,P39045,Belongs to the peptidase S13 family,3.4.16.4
1ZVC,Q9LS03,Belongs to the allene oxide cyclase family,5.3.99.6
5VBD,Q93008,Belongs to the peptidase C19 family,3.4.19.12
5KUV,P62937,Belongs to the cyclophilin-type PPIase family. PPIase A subfamily,5.2.1.8
4P2K,P29317,Belongs to the protein kinase superfamily. Tyr protein kinase family. Ephrin receptor subfamily,2.7.10.1
3DYP,P00722,Belongs to the glycosyl hydrolase 2 family,3.2.1.23
5BN2,F2QVG4,Belongs to the MIP/aquaporin (TC 1.A.8) family,
4IBT,P04637,Belongs to the p53 family,
1TO1,P00782,Belongs to the peptidase S8 family,3.4.21.62
1TO1,Q40059,Belongs to the protease inhibitor I13 (potato type I serine protease inhibitor) family,
2BFN,D4Z2G1,Belongs to the haloalkane dehalogenase family. Type 2 subfamily,3.8.1.5
4MJC,P73492,Belongs to the glutaredoxin family,
3IT4,P9WPZ3,Belongs to the ArgJ family,
6YV5,Q2FXC3,Belongs to the peptidase S1B family,3.4.21.-
6IWG,B2ZHY7,Belongs to the MHC class I family,
6IWG,Q6V7J5,Belongs to the beta-2-microglobulin family,
4WRV,P9WFQ9,Belongs to the uracil-DNA glycosylase (UDG) superfamily. UNG family,3.2.2.27
5Z95,A0A0M3PNA2,Belongs to the AB hydrolase superfamily,
3F0Y,Q8V791,Belongs to the adenoviridae fiber family,
4NK2,B3DVC3,Belongs to the truncated hemoglobin family. Group II subfamily,
5Q4N,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
8WFF,P07948,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,2.7.10.2
6L8A,B7J3C9,Belongs to the tetrathionate hydrolase family,3.12.1.-
4O6T,O69756,,
5NLF,P0CG48,Belongs to the ubiquitin family,
5QLX,P0AEG4,Belongs to the thioredoxin family. DsbA subfamily,
2QB7,P38698,Belongs to the PPase class C family,3.6.1.11
4ETE,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2AXQ,P38999,Belongs to the saccharopine dehydrogenase family,1.5.1.10
2XJ8,P00431,Belongs to the peroxidase family. Cytochrome c peroxidase subfamily,1.11.1.5
5OM5,P01011,Belongs to the serpin family,
3FAU,Q86UW6,,3.-.-.-
5QZR,P33334,,
5QZR,P32357,Belongs to the AAR2 family,
3F7E,A0QXP8,,
1I5X,Q76270,,
2FS5,Q8FBQ3,Belongs to the WecD family,2.3.1.210
3DB2,B8FRW3,,
2BD8,P00772,Belongs to the peptidase S1 family. Elastase subfamily,3.4.21.36
5P1I,P11838,Belongs to the peptidase A1 family,3.4.23.22
5IAR,P42574,Belongs to the peptidase C14A family,3.4.22.56
6Y7D,P19573,Belongs to the NosZ family,1.7.2.4
2VFD,Q07412,Belongs to the triosephosphate isomerase family,5.3.1.1
1FFB,P00590,Belongs to the cutinase family,3.1.1.74
5C00,Q6NFK7,,
2A07,O15409,,
5IOL,A0A3Q0KJ78,Belongs to the NDK family,2.7.4.6
7Q47,H6WYJ5,,
1TVD,A0JD37,,
5PWM,P23497,,
1UI9,Q84FH6,,5.4.99.5
2GHE,Q43758,Belongs to the peroxidase family. Ascorbate peroxidase subfamily,1.11.1.11
2Q8N,Q9X1A5,Belongs to the GPI family,5.3.1.9
1A8L,Q51760,Belongs to the glutaredoxin family,
6SV6,P00760,Belongs to the peptidase S1 family,3.4.21.4
3WVA,Q58649,Belongs to the UPF0254 family,
2UXG,P19567,,
3ZVS,O29917,Belongs to the peptidase M54 family,3.4.-.-
8ON2,Q9F8A8,Belongs to the Ni-containing carbon monoxide dehydrogenase family,1.2.7.4
4I6U,Q8GGH0,,
2OQ5,Q9UL52,Belongs to the peptidase S1 family,3.4.21.-
1XU1,Q9D777,Belongs to the tumor necrosis factor family,
1XU1,O14836,,
4N19,P62942,Belongs to the FKBP-type PPIase family. FKBP1 subfamily,5.2.1.8
1ZMF,Q9UNP9,Belongs to the cyclophilin-type PPIase family. PPIase E subfamily,5.2.1.8
3APA,O60844,Belongs to the jacalin lectin family,
4FNM,Q25252,Belongs to the type-B carboxylesterase/lipase family,3.1.1.-
2VY6,P31345,Belongs to the influenza viruses PB2 family,
3DPS,P0A1F6,Belongs to the PNP/UDP phosphorylase family,2.4.2.3
1TF4,P26221,Belongs to the glycosyl hydrolase 9 (cellulase E) family,3.2.1.4
3KXT,Q97ZE3,Belongs to the Cren7 family,
2E3S,Q9Y5P4,,
1N7O,Q54873,Belongs to the polysaccharide lyase 8 family,4.2.2.1
6RS1,Q9SJQ9,Belongs to the class I fructose-bisphosphate aldolase family,4.1.2.13
5PU7,O95696,,
7NLV,P22629,Belongs to the avidin/streptavidin family,
7A33,P00523,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,2.7.10.2
3S42,P58687,Belongs to the type-I 3-dehydroquinase family,4.2.1.10
6PAC,P00805,Belongs to the asparaginase 1 family,3.5.1.1
2WUT,P02689,Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family,
7NZP,A0A256XLS3,Belongs to the D-lyxose ketol-isomerase family,5.3.1.15
6S7E,Q9SJI9,Belongs to the cysteine dioxygenase family,1.13.11.20
1UBR,P21852,Belongs to the [NiFe]/[NiFeSe] hydrogenase large subunit family,1.12.2.1
1UBR,P21853,Belongs to the [NiFe]/[NiFeSe] hydrogenase small subunit family,1.12.2.1
2A7J,P00772,Belongs to the peptidase S1 family. Elastase subfamily,3.4.21.36
3F5V,Q3HWZ5,Belongs to the peptidase C1 family,
4ACY,Q8A109,,
5Q9K,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
1YJA,P00782,Belongs to the peptidase S8 family,3.4.21.62
4EKH,P02883,Belongs to the thaumatin family,
1SX7,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
6SOO,Q0I9X8,Belongs to the ferritin family. Prokaryotic subfamily,1.16.3.2
6T84,A0QQF4,,
2O2D,P13377,Belongs to the GPI family,5.3.1.9
2FJ8,P12940,Belongs to the Bowman-Birk serine protease inhibitor family,
6K3M,P02976,Belongs to the immunoglobulin-binding protein SpA family,
5UYD,Q56952,Belongs to the bacterial solute-binding protein 9 family,
2D0N,O89100,Belongs to the GRB2/sem-5/DRK family,
1CYI,P08197,Belongs to the cytochrome c family. PetJ subfamily,
1M4J,Q91YR1,Belongs to the actin-binding proteins ADF family. Twinfilin subfamily,
6DCV,P01834,,
6DCV,P01857,,
7MIQ,Q87HB4,Belongs to the GST superfamily,2.5.1.18
2AHF,Q9RC92,Belongs to the glycosyl hydrolase 88 family,3.2.1.179
4MT8,Q38846,Belongs to the ethylene receptor family,2.7.11.-; 2.7.13.3
5G60,A0A0H2URD6,Belongs to the bacterial solute-binding protein 1 family,
3KA6,P07798,Belongs to the ferritin family,1.16.3.1
5VZ3,Q99988,Belongs to the TGF-beta family,
2HPG,Q9WYF8,,
6DQP,P80644,Belongs to the SsuE family,1.5.1.38
1RG8,P05230,Belongs to the heparin-binding growth factors family,
5P6F,P11838,Belongs to the peptidase A1 family,3.4.23.22
1W5O,Q59643,Belongs to the ALAD family,4.2.1.24
8YHP,P00558,Belongs to the phosphoglycerate kinase family,2.7.11.1; 2.7.2.3
5WHW,P06873,Belongs to the peptidase S8 family,3.4.21.64
1TMG,P00782,Belongs to the peptidase S8 family,3.4.21.62
1TMG,Q40059,Belongs to the protease inhibitor I13 (potato type I serine protease inhibitor) family,
7NC2,B0Y813,Belongs to the GST superfamily,2.5.1.18
7ESS,P9WGV7,Belongs to the YqgF nuclease family,3.1.-.-
2EG3,Q5SHV8,,
5Q75,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
1BVD,P02185,Belongs to the globin family,
3L3D,P01889,,
3L3D,P61769,Belongs to the beta-2-microglobulin family,
3L3D,Q95HB9,Belongs to the MHC class II family,
1EAN,Q03347,,
3EXU,P18429,Belongs to the glycosyl hydrolase 11 (cellulase G) family,3.2.1.8
3SEU,P0AEX9,Belongs to the bacterial solute-binding protein 1 family,
6K17,Q9NVH0,Belongs to the EXD2 family,3.1.11.1
1AGY,P00590,Belongs to the cutinase family,3.1.1.74
3WMD,Q846W7,,
6QPS,E2NM07,,
8OE5,P9WKD3,Belongs to the class-A beta-lactamase family,3.5.2.6
3QF2,Q96P20,Belongs to the NLRP family,3.6.4.-
1HOZ,Q9GPQ4,Belongs to the IUNH family,
2OH8,P02185,Belongs to the globin family,
1V2J,P00760,Belongs to the peptidase S1 family,3.4.21.4
5R3S,P11838,Belongs to the peptidase A1 family,3.4.23.22
5MS6,Q9GZQ8,Belongs to the ATG8 family,
5P40,P11838,Belongs to the peptidase A1 family,3.4.23.22
6XQF,A0A0B5H9B3,Belongs to the glycosyl hydrolase 16 family,
3DUP,Q2RXX6,,
7KCG,Q6TRZ5,,
5OYE,B3PD52,Belongs to the glycosyl hydrolase 5 (cellulase A) family,
2BWV,P15034,Belongs to the peptidase M24B family,3.4.11.9
6S5V,Q6E3N3,Belongs to the influenza viruses PB2 family,
3IP4,P63488,Belongs to the amidase family. GatA subfamily,6.3.5.7
3IP4,P64201,Belongs to the GatB/GatE family. GatB subfamily,6.3.5.-
3IP4,P68807,Belongs to the GatC family,6.3.5.-
7N9I,Q9W385,Belongs to the frataxin family,1.16.3.1
5GGS,Q15116,,
1Z17,P0AD96,Belongs to the leucine-binding protein family,
2WLW,P62940,Belongs to the cyclophilin-type PPIase family. PPIase A subfamily,5.2.1.8
7LD6,Q4K977,,
4L2B,P84612,Belongs to the iron/manganese superoxide dismutase family,1.15.1.1
1NTV,P97318,,
3CDQ,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
3M4Z,P32396,Belongs to the ferrochelatase family,4.99.1.9
6XA6,Q14160,Belongs to the LAP (LRR and PDZ) protein family,
6XA6,Q9ULK5,Belongs to the Vang family,
5HA4,B7GY71,Belongs to the diaminopimelate epimerase family,5.1.1.7
3AZ6,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2HNX,P15090,Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family,
6B84,Q9I834,Belongs to the phospholipase A2 family. Group II subfamily. K49 sub-subfamily,
6D0I,A0A0C5XL88,Belongs to the MbcT/ParT/Res family,2.4.2.-
6D0I,A0A0C5XKJ0,Belongs to the MbcA/ParS/Xre antitoxin family,
2V1H,P68082,Belongs to the globin family,
5B2O,A0Q5Y3,Belongs to the CRISPR-associated protein Cas9 family. Subtype II-B subfamily,3.1.-.-
4XM1,Q8U3V1,,
7P6V,O60885,Belongs to the BET family,
1FIP,P0A6R3,Belongs to the transcriptional regulatory Fis family,
2OOK,Q087X8,,
1MQQ,Q8VVD2,Belongs to the glycosyl hydrolase 67 family,3.2.1.131
6Y3D,O19910,Belongs to the phycobiliprotein family,
6Y3D,O19909,Belongs to the phycobiliprotein family,
3BAL,Q8GNT2,,1.13.11.50
3L1U,P63228,Belongs to the GmhB family,3.1.3.82
5PES,Q9UIF8,Belongs to the WAL family,
4YIO,Q5M4Z1,Belongs to the iron/manganese superoxide dismutase family,1.15.1.1
2DKA,Q9P4V2,Belongs to the phosphohexose mutase family,5.4.2.3
5GS7,Q8KUA7,Belongs to the peptidase C59 family,3.5.1.24
4NGY,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
3BOF,Q9WYA5,Belongs to the vitamin-B12 dependent methionine synthase family,2.1.1.13
1EMY,P02186,Belongs to the globin family,
4KUA,Q9HV14,,
4YWI,Q07412,Belongs to the triosephosphate isomerase family,5.3.1.1
4YBA,Q93K36,,
1LUZ,P18378,Belongs to the poxviridae K3 protein family,
1ZBZ,P00431,Belongs to the peroxidase family. Cytochrome c peroxidase subfamily,1.11.1.5
2Q4N,O64527,Belongs to the nitrobindin family,5.99.-.-
1O6T,P0DJM0,Belongs to the internalin family,
2NLF,P60022,Belongs to the beta-defensin family,
5EOC,P27958,Belongs to the hepacivirus polyprotein family,
1T18,P16113,Belongs to the photoactive yellow protein family,
4CQI,Q9U1D9,Belongs to the TBCA family,
8VD9,O34746,Belongs to the thiolase-like superfamily. FabH family,2.3.1.180; 2.3.1.300
6K64,P02976,Belongs to the immunoglobulin-binding protein SpA family,
2UTG,P02779,Belongs to the secretoglobin family,
4F2C,Q9NZ45,Belongs to the CISD protein family,
3D4I,Q3V3E1,,
4DR8,A0A0H3JZJ4,Belongs to the polypeptide deformylase family,3.5.1.88
3W15,P39108,Belongs to the WD repeat peroxin-7 family,
3W15,P50091,Belongs to the peroxin-21 family,
3W15,P27796,Belongs to the thiolase-like superfamily. Thiolase family,2.3.1.16
3W15,P0AEX9,Belongs to the bacterial solute-binding protein 1 family,
1DJT,P45697,Belongs to the long (4 C-C) scorpion toxin superfamily. Sodium channel inhibitor family. Alpha subfamily,
2G13,P45689,Belongs to the bacterial microcompartments protein family. CsoS1 subfamily,
4TLU,P02766,Belongs to the transthyretin family,
1HRC,P00004,Belongs to the cytochrome c family,
2FVH,P9WFE7,Belongs to the urease gamma subunit family,3.5.1.5
1Y5E,Q816R0,Belongs to the MoaB/Mog family,
2IAR,Q7SIG4,,3.8.2.2
3PO8,P71590,,
2WCZ,O28314,Belongs to the Holliday junction resolvase Hjc family,3.1.21.10
5NFW,P02766,Belongs to the transthyretin family,
3C8R,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
4BND,A2RIP9,Belongs to the eukaryotic PMM family,5.4.2.8
4ENV,P21179,Belongs to the catalase family. HPII subfamily,1.11.1.6
3C1D,P66000,Belongs to the RecX family,
3GXK,B9TU22,Belongs to the glycosyl hydrolase 23 family,
3F1V,P0A988,Belongs to the beta sliding clamp family,
6WED,A0A0H3PA01,Belongs to the UPF0423 family,
3AQ9,P17724,Belongs to the truncated hemoglobin family. Group I subfamily,
1CGO,P00138,,
4O7Q,O14862,Belongs to the HIN-200 family,
3NKD,Q46896,Belongs to the CRISPR-associated endonuclease Cas1 family,3.1.-.-
5NMC,P0CG48,Belongs to the ubiquitin family,
3USE,P0ACD8,Belongs to the [NiFe]/[NiFeSe] hydrogenase large subunit family,1.12.99.6
3USE,P69739,Belongs to the [NiFe]/[NiFeSe] hydrogenase small subunit family,1.12.99.6
4ZQQ,P03433,Belongs to the influenza viruses PA family,3.1.-.-
2B49,P26045,Belongs to the protein-tyrosine phosphatase family. Non-receptor class subfamily,3.1.3.48
6ATL,P56219,Belongs to the short scorpion toxin superfamily. Potassium channel inhibitor family. Alpha-KTx 04 subfamily,
5UUD,P00800,Belongs to the peptidase M4 family,3.4.24.27
3OL3,A0QRC4,,
1QBI,P13650,Belongs to the PQQ oxidoreductase GdhB family,1.1.5.2
3B5M,Q7UTD8,,
3QYP,Q8A5V9,,
7MZY,Q9UM73,Belongs to the protein kinase superfamily. Tyr protein kinase family. Insulin receptor subfamily,2.7.10.1
1T8K,P0A6A8,Belongs to the acyl carrier protein (ACP) family,
4E46,P0A3G2,Belongs to the haloalkane dehalogenase family. Type 2 subfamily,3.8.1.5
5BOV,A6T9G8,,
5P2F,P11838,Belongs to the peptidase A1 family,3.4.23.22
3S0Y,P56427,Belongs to the MotB family,
4DDC,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2G8F,Q9KEI9,Belongs to the RNase H family,3.1.26.4
6C9O,P19909,,
1RQ2,P9WN95,Belongs to the FtsZ family,
1ILK,P22301,Belongs to the IL-10 family,
3WPR,K7ZP88,Belongs to the autotransporter-2 (AT-2) (TC 1.B.40) family,
4Z71,P9WI55,Belongs to the PPase family,3.6.1.1
1CE9,P03069,Belongs to the bZIP family. GCN4 subfamily,
7F88,A9ZSX9,,
1ERV,P10599,Belongs to the thioredoxin family,
3PAC,B1VB78,Belongs to the bacterial microcompartments protein family,
6JYZ,A0A3S5Y3Q1,Belongs to the glycosyl hydrolase 5 (cellulase A) family,
4J8C,P50503,Belongs to the FAM10 family,
7CP0,Q16769,Belongs to the glutaminyl-peptide cyclotransferase family,2.3.2.5
4M8U,O06994,Belongs to the glycosyl hydrolase 13 family,3.2.1.10
6NLA,P19909,,
3ERA,P60775,Belongs to the snake three-finger toxin family. Short-chain subfamily. Type I alpha-neurotoxin sub-subfamily,
5ONY,O68601,Belongs to the multicopper oxidase family,1.7.2.1
1AVM,P80293,Belongs to the iron/manganese superoxide dismutase family,1.15.1.1
4M1G,Q71TT1,Belongs to the orthopoxvirus OPG161 family,
3V5C,D3EID5,,
6B6J,Q8H2C9,Belongs to the profilin family,
6QZM,P41977,Belongs to the iron/manganese superoxide dismutase family,1.15.1.1
2I5S,P22069,Belongs to the pancreatic ribonuclease family,3.1.27.-
2FMK,P0A2D5,,
2FMK,Q57N83,Belongs to the CheZ family,3.1.3.-
8U55,M1RM73,Belongs to the transpeptidase family,
3KKW,Q9HV14,,
1OQG,P02787,Belongs to the transferrin family,
2G60,Q5BJZ2,,
2G60,Q65ZC0,,
1E86,P00138,,
6WCU,Q99719,Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. Septin GTPase family,
3G7D,Q5IW40,Belongs to the non-heme iron-dependent dioxygenase family,1.13.11.72
4BEG,P9WFN1,Belongs to the UPF0098 family,
7N5I,C5A5N6,Belongs to the PCNA family,
4A3Z,A0A0H2YU91,,
3A02,Q06453,Belongs to the paired homeobox family,
4IMH,O68880,,
5NKT,P04128,Belongs to the fimbrial protein family,
2BQB,P61626,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
6IOG,A0QSZ0,Belongs to the AB hydrolase superfamily. MetX family,2.3.1.31
4PUI,Q84W65,Belongs to the SufE family,
3NWO,A0QVS8,Belongs to the peptidase S33 family,
3M0Z,A6THF7,,
6D3W,A0A1S1GKD7,,
5ZN9,Q96L92,Belongs to the sorting nexin family,
1GFA,P61626,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2V4V,Q0PRN1,Belongs to the glycosyl hydrolase 59 family,3.2.1.4; 3.2.1.46
2ABW,Q8IIK4,Belongs to the glutaminase PdxT/SNO family,4.3.3.6
5ST2,P33334,,
5ST2,P32357,Belongs to the AAR2 family,
1CLL,P0DP23,Belongs to the calmodulin family,
1QNT,P16455,Belongs to the MGMT family,2.1.1.63
1HG0,P06608,Belongs to the asparaginase 1 family,3.5.1.1
1JTM,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
5P0W,P11838,Belongs to the peptidase A1 family,3.4.23.22
2FK5,Q5SHB9,,
3I4Q,D0VWZ3,Belongs to the PPase family,3.6.1.1
5I6P,P25006,Belongs to the multicopper oxidase family,1.7.2.1
1TGX,P01468,Belongs to the snake three-finger toxin family. Short-chain subfamily. Type IA cytotoxin sub-subfamily,
4ORD,F6P1Y9,Belongs to the thioesterase PaaI family,
6OTC,Q03039,Belongs to the filoviridae polymerase cofactor VP35 family,
1P3E,Q9EXR9,Belongs to the peptidase S1B family,3.4.21.-
6G8A,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
3TGC,Q94734,Belongs to the calycin superfamily. Nitrophorin family,1.7.6.1
4YEO,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2DGA,Q1XH05,Belongs to the glycosyl hydrolase 1 family,3.2.1.182
3S5V,P84330,Belongs to the bacterial lectin family,
1L9P,P38501,Belongs to the multicopper oxidase family,1.7.2.1
1PKO,Q63345,Belongs to the immunoglobulin superfamily. BTN/MOG family,
1Q44,P52839,Belongs to the sulfotransferase 1 family,2.8.2.-
5ERQ,Q03555,,
6H90,P71447,Belongs to the HAD-like hydrolase superfamily. CbbY/CbbZ/Gph/YieH family,5.4.2.6
4YSI,Q93009,Belongs to the peptidase C19 family,3.4.19.12
4YSI,F5HF68,Belongs to the IRF family,
1CJ6,P61626,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
5H3K,P74396,,
4Q7G,A0A0H2WX25,Belongs to the aerolysin family,
1SDS,P54066,Belongs to the eukaryotic ribosomal protein eL8 family,
4K05,A0A380YTY6,,
5SMK,P0DTD1,Belongs to the coronaviruses polyprotein 1ab family,
1AMP,Q01693,Belongs to the peptidase M28 family. M28E subfamily,3.4.11.10
6OD3,P15884,,
1B65,Q59632,Belongs to the peptidase S58 family,
3B84,P10074,Belongs to the krueppel C2H2-type zinc-finger protein family,
1R0R,P00780,Belongs to the peptidase S8 family,3.4.21.62
1R0R,P68390,,
8P1T,P31153,Belongs to the AdoMet synthase family,2.5.1.6
7N3Z,P38207,Belongs to the DNA repair enzymes AP/ExoA family,3.1.11.2
1K6K,P0ABH9,Belongs to the ClpA/ClpB family,
2FDN,P00198,,
1IA8,O14757,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. NIM1 subfamily,2.7.11.1
6BSQ,Q9K3C9,Belongs to the transpeptidase family,
5G0F,F8W4B7,,
2E0M,P07998,Belongs to the pancreatic ribonuclease family,4.6.1.18
5KWM,Q54137,Belongs to the peptidase S1 family,
4IYS,Q9H8M5,Belongs to the ACDP family,
6GN5,Q8IYS0,,
5N8G,P25006,Belongs to the multicopper oxidase family,1.7.2.1
2A6X,Q12396,Belongs to the EMP46/EMP47 family,
7PT0,Q9KYU4,,
5GHP,P36639,Belongs to the Nudix hydrolase family,3.6.1.56
5Q8Y,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
1PW3,Q96JD1,,
4Q51,B4EN46,,
5LC4,Q91VU0,Belongs to the FAM3 family,
5YRG,B6F0T7,,
3RVA,F8UVJ4,Belongs to the peptidase M24B family. Bacterial-type prolidase subfamily,3.4.13.9
2CI4,P56965,Belongs to the DDAH family,3.5.3.18
6AWZ,Q6VT83,Belongs to the BetVI family,
1J3F,P02185,Belongs to the globin family,
5F4O,A0A0E4B1P1,,
8V6P,P28796,Belongs to the beta-eliminating lyase family,4.1.99.1
6EJA,Q86Y38,Belongs to the glycosyltransferase 14 family. XylT subfamily,2.4.2.26
6EJA,P02760,,
3SW0,P08603,,
5JTH,P0DP23,Belongs to the calmodulin family,
5JTH,Q15746,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family,2.7.11.18
6B91,Q86W50,Belongs to the methyltransferase superfamily. METTL16/RlmF family,2.1.1.348
1QSQ,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
4HVN,C7PVH9,,
6TM8,A0A0Y0A4Z5,,
5FEK,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
5P5T,P11838,Belongs to the peptidase A1 family,3.4.23.22
1XFJ,Q9AAV3,Belongs to the purine nucleoside phosphorylase YfiH/LACC1 family,
6MS1,Q14160,Belongs to the LAP (LRR and PDZ) protein family,
4DGQ,B4EA96,,
4YQZ,Q746L9,Belongs to the short-chain dehydrogenases/reductases (SDR) family,
2DSL,Q5SJP3,,
4OWA,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
1W2I,P84142,Belongs to the acylphosphatase family,3.6.1.7
2IN0,P9WHJ3,Belongs to the RecA family,
2PV1,P0ABZ6,,
2PV1,Q2RHX9,,
2Z12,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
3EUO,Q7S6N4,Belongs to the thiolase-like superfamily. Chalcone/stilbene synthases family,
6UBH,Q96RT1,Belongs to the LAP (LRR and PDZ) protein family,
4J4C,P81180,Belongs to the cyanovirin-N family,
4NFB,Q9UKJ1,,
4M4U,Q4WQS0,Belongs to the glycosyl hydrolase 33 family,3.2.1.18
