pdb_id,CATH_ID
3FAU,3.30.1370.110
3F7E,2.30.110.10
1I5X,1.10.287.210
2FS5,3.40.630.30
3DB2,3.40.50.720
3DB2,3.30.360.10
2BD8,2.40.10.10
5P1I,2.40.70.10
5IAR,3.40.50.1460
2VFD,3.20.20.70
1FFB,3.40.50.1820
5C00,3.40.30.10
2A07,1.10.10.10
5IOL,3.30.70.141
1TVD,2.60.40.10
5PWM,3.30.40.10
5PWM,1.20.920.10
1UI9,3.30.1330.40
2GHE,1.10.520.10
2GHE,1.10.420.10
2Q8N,3.40.50.10490
1A8L,3.40.30.10
2UXG,2.60.40.420
3ZVS,3.40.390.10
4I6U,1.10.260.40
2OQ5,2.40.10.10
1XU1,2.60.120.40
4N19,3.10.50.40
1ZMF,2.40.100.10
3APA,2.100.10.30
4FNM,3.40.50.1820
2VY6,3.30.30.90
3DPS,3.40.50.1580
1TF4,1.50.10.10
1TF4,2.60.40.710
3KXT,2.30.30.610
2E3S,3.30.530.20
1N7O,1.50.10.100
1N7O,2.70.98.10
1N7O,2.60.220.10
5PU7,1.20.920.10
3S42,3.20.20.70
2WUT,2.40.128.20
1UBR,1.10.645.10
1UBR,3.40.50.700
1UBR,4.10.480.10
2A7J,2.40.10.10
3F5V,3.90.70.10
4ACY,3.20.20.80
5Q9K,3.60.15.10
5Q9K,3.40.50.12650
1YJA,3.40.50.200
4EKH,2.60.110.10
1SX7,1.10.530.40
2O2D,3.40.50.10490
2O2D,1.10.1390.10
5HJ1,2.30.42.10
2FJ8,2.10.69.10
5UYD,3.40.50.1980
2D0N,2.30.30.40
1CYI,1.10.760.10
1M4J,3.40.20.10
6DCV,2.60.40.10
2AHF,1.50.10.10
4MT8,1.10.287.130
3KA6,1.20.1260.10
2HPG,3.40.190.170
6DQP,3.40.50.360
1RG8,2.80.10.50
5P6F,2.40.70.10
1W5O,3.20.20.70
5WHW,3.40.50.200
1TMG,3.40.50.200
1TMG,3.30.10.10
2EG3,3.40.250.10
5Q75,3.60.15.10
5Q75,3.40.50.12650
1BVD,1.10.490.10
3L3D,3.30.500.10
3L3D,2.60.40.10
1EAN,2.60.40.720
3EXU,2.60.120.180
3SEU,3.40.190.10
1AGY,3.40.50.1820
3WMD,3.10.450.50
3QF2,1.10.533.10
1HOZ,3.90.245.10
2OH8,1.10.490.10
1V2J,2.40.10.10
5MS6,3.10.20.90
5P40,2.40.70.10
3DUP,3.90.79.10
3DUP,3.30.750.160
2BWV,3.40.350.10
2BWV,3.90.230.10
3IP4,3.90.1300.10
3IP4,1.10.10.410
3IP4,1.10.20.60
5GGS,2.60.40.10
1Z17,3.40.50.2300
2WLW,2.40.100.10
1NTV,2.30.29.30
3CDQ,1.10.530.40
3M4Z,3.40.50.1400
5HA4,3.10.310.10
3AZ6,1.10.530.10
2HNX,2.40.128.20
6B84,1.20.90.10
2V1H,1.10.490.10
4XM1,3.40.50.10320
1FIP,1.10.10.60
2OOK,3.40.50.10600
1MQQ,3.30.379.10
1MQQ,3.20.20.80
1MQQ,3.90.1330.10
3BAL,2.60.120.10
3L1U,3.40.50.1000
5PES,1.20.920.10
4YIO,1.10.287.990
4YIO,3.55.40.20
2DKA,3.40.120.10
2DKA,3.30.310.50
5GS7,3.60.60.10
4NGY,1.10.530.10
3BOF,3.20.20.330
3BOF,3.20.20.20
1EMY,1.10.490.10
4KUA,3.40.630.30
4YWI,3.20.20.70
4YBA,1.10.260.40
1LUZ,2.40.50.140
1ZBZ,1.10.520.10
1ZBZ,1.10.420.10
2Q4N,2.40.128.20
1O6T,3.80.10.10
1O6T,2.60.40.1220
5EOC,2.60.40.10
1T18,3.30.450.20
4CQI,1.20.58.90
2UTG,1.10.210.10
3D4I,3.40.50.1240
4DR8,3.90.45.10
3W15,2.130.10.10
3W15,6.10.280.230
3W15,3.40.190.10
1DJT,3.30.30.10
2G13,3.30.70.1710
4TLU,2.60.40.180
1HRC,1.10.760.10
2FVH,3.30.280.10
1Y5E,3.40.980.10
2IAR,2.120.10.30
3PO8,2.60.200.20
2WCZ,3.40.1350.10
3C8R,1.10.530.40
4BND,3.40.50.1000
4BND,3.30.1240.20
3WW9,2.120.10.30
4ENV,2.40.180.10
4ENV,1.20.1370.20
4ENV,3.40.50.880
3C1D,1.10.10.10
3GXK,1.10.530.10
3F1V,3.10.150.10
3AQ9,1.10.490.10
1CGO,1.20.120.10
4O7Q,1.10.533.10
3NKD,3.100.10.20
3NKD,1.20.120.920
3USE,1.10.645.10
3USE,3.40.50.700
3USE,4.10.480.10
4ZQQ,3.40.91.90
2B49,3.90.190.10
5UUD,3.10.170.10
5UUD,1.10.390.10
3OL3,6.10.140.2080
3OL3,1.10.10.2390
1QBI,2.120.10.30
3B5M,2.30.110.10
3B5M,1.20.58.290
3QYP,3.40.50.1000
3QYP,1.10.150.240
1T8K,1.10.1200.10
4E46,3.40.50.1820
5BOV,3.40.50.1820
5P2F,2.40.70.10
3S0Y,3.30.1330.60
4DDC,1.10.530.10
2G8F,3.30.420.10
1RQ2,3.40.50.1440
1RQ2,3.30.1330.20
1ILK,1.20.1250.10
4Z71,3.90.80.10
1ERV,3.40.30.10
3PAC,3.30.70.1710
4J8C,6.10.250.3420
4M8U,3.20.20.80
4M8U,3.90.400.10
4M8U,2.60.40.1180
6NLA,3.10.20.10
3ERA,2.10.60.10
5ONY,2.60.40.420
1AVM,1.10.287.990
1AVM,3.55.40.20
4M1G,3.10.100.10
4M1G,2.60.40.10
3V5C,3.30.390.10
3V5C,3.20.20.120
6B6J,3.30.450.30
2I5S,3.10.130.10
2FMK,3.40.50.2300
3KKW,3.40.630.30
1OQG,3.40.190.10
2G60,2.60.40.10
1E86,1.20.120.10
2YJ7,3.40.30.10
3G7D,1.10.260.40
3G7D,2.60.120.10
4BEG,3.90.280.10
4A3Z,2.60.120.260
3A02,1.10.10.60
4IMH,3.40.1570.10
2BQB,1.10.530.10
4PUI,3.30.300.90
4ESS,3.40.220.10
3NWO,3.40.50.1820
3M0Z,3.20.20.70
5ZN9,3.30.1520.10
1GFA,1.10.530.10
2V4V,2.60.120.260
2ABW,3.40.50.880
1CLL,1.10.238.10
1QNT,3.30.160.70
1QNT,1.10.10.10
1HG0,3.40.50.1170
1HG0,3.40.50.40
1JTM,1.10.530.40
5P0W,2.40.70.10
2FK5,3.40.225.10
3I4Q,3.90.80.10
5I6P,2.60.40.420
1TGX,2.10.60.10
4ORD,3.10.129.10
5TPP,2.60.40.10
1P3E,2.40.10.10
6G8A,1.10.530.10
3TGC,2.40.128.20
4YEO,1.10.530.10
2DGA,3.20.20.80
3S5V,2.40.128.450
1L9P,2.60.40.420
1PKO,2.60.40.10
1Q44,3.40.50.300
5ERQ,3.40.980.10
5ERQ,3.90.105.10
5ERQ,2.170.190.11
5ERQ,2.40.340.10
4YSI,2.60.210.10
1CJ6,1.10.530.10
4Q7G,2.70.240.10
1SDS,3.30.1330.30
4K05,3.40.50.12170
4K05,3.90.1150.140
1AMP,3.40.630.10
6OD3,4.10.280.10
1B65,3.60.70.12
3B84,3.30.710.10
1R0R,3.40.50.200
1R0R,3.30.60.30
1K6K,1.10.1780.10
2FDN,3.30.70.20
1IA8,3.30.200.20
1IA8,1.10.510.10
5G0F,3.30.40.10
2E0M,3.10.130.10
5KWM,2.40.10.10
4IYS,3.10.580.10
5N8G,2.60.40.420
2A6X,2.60.120.200
5GHP,3.90.79.10
5Q8Y,3.60.15.10
5Q8Y,3.40.50.12650
1PW3,2.60.40.10
3RVA,3.40.350.10
3RVA,3.90.230.10
2CI4,3.75.10.10
6AWZ,3.30.530.20
1J3F,1.10.490.10
5F4O,2.40.510.10
5F4O,2.40.30.120
5CLG,3.40.50.1970
3SW0,2.10.70.10
1QSQ,1.10.530.40
4HVN,3.10.450.50
5FZS,1.25.40.10
5FEK,1.10.530.10
5P5T,2.40.70.10
1XFJ,3.60.140.10
4DGQ,3.40.50.1820
4YQZ,3.40.50.720
2DSL,3.10.129.10
4OWA,1.10.530.10
1W2I,3.30.70.100
2IN0,2.170.16.10
2PV1,3.10.50.40
2Z12,1.10.530.10
3EUO,3.40.47.10
3O0P,2.40.260.10
4J4C,2.30.60.10
4NFB,2.60.40.10
4M4U,2.120.10.10
4QFT,3.40.140.10
2F8O,2.60.40.10
6B9X,3.30.450.30
5LJG,2.40.128.20
4HT8,2.30.30.100
2JJN,1.10.630.10
2AX2,3.10.200.10
2CPG,1.10.1220.10
1ARM,3.40.630.10
3V1C,4.10.860.20
3ZXJ,2.115.10.20
3ZXJ,2.60.120.200
2XEH,1.25.40.20
2DQ6,2.60.40.1730
2DQ6,3.30.2010.30
2DQ6,1.10.390.10
2DQ6,2.60.40.1840
2DQ6,1.25.50.10
1KEX,2.60.120.260
6BJT,3.10.450.50
6C39,3.40.710.10
6C39,2.30.140.20
6FRC,2.60.40.10
4IPV,3.55.40.10
1YUZ,1.20.1260.10
1YUZ,2.20.28.10
4PXW,2.130.10.10
2IGI,3.30.420.10
3NEU,1.10.10.10
3NEU,1.10.287.2110
4LIZ,3.40.20.10
1NQP,1.10.490.10
5UOU,1.10.3330.10
2IUC,3.40.720.10
3NSO,1.10.238.10
2WWK,2.60.40.10
1C0B,3.10.130.10
1GWI,1.10.630.10
5CCJ,2.60.40.150
5M3S,1.10.490.10
4QR8,3.40.350.10
4QR8,3.90.230.10
5JKK,1.20.1260.10
3ZV4,3.40.50.720
2XC2,3.40.30.10
1HC0,1.10.530.10
4I66,3.40.50.12140
4XZ9,3.20.20.70
2ZPO,3.10.130.10
1XRU,2.60.120.520
1XRU,2.60.120.10
2D2E,3.40.50.300
3MWX,2.70.98.10
2HDD,1.10.10.60
3MBP,3.40.190.10
3W2Y,3.60.10.10
1B4K,3.20.20.70
2G2W,3.40.710.10
2G2W,3.30.1450.10
5XFE,2.120.10.30
4BT9,6.10.140.1460
4BT9,1.25.40.10
3KX5,1.10.630.10
1N70,2.60.40.420
2VTF,3.20.20.80
2VTF,2.60.120.260
2VTF,2.60.40.10
4IG2,3.20.20.140
1GG9,2.40.180.10
1GG9,1.20.1370.20
1GG9,3.40.50.880
1ITV,2.110.10.10
1W7F,3.40.710.10
2REI,3.30.200.20
2REI,1.10.510.10
6NFR,2.60.40.1220
6ET6,1.10.530.40
1Z7X,3.80.10.10
1Z7X,3.10.130.10
1Q04,2.80.10.50
4H31,3.40.50.1370
5PPG,1.20.920.10
3O5M,3.10.50.40
4JCP,2.40.100.10
3JU0,3.30.160.390
3T01,3.40.720.10
3T01,3.30.1360.110
6CPB,2.60.120.10
1B25,3.60.9.10
1B25,1.10.599.10
1B25,1.10.569.10
1FD4,3.10.360.10
1HQQ,2.40.128.30
3VUX,3.10.20.90
1VLK,1.20.1250.10
4POZ,2.60.40.10
1W50,2.40.70.10
1PE9,2.160.20.10
4IUS,3.40.630.30
2YK4,3.30.370.20
1G6B,3.30.70.20
4W8C,3.30.1060.10
2GT1,3.40.50.2000
4Q11,3.30.310.230
1GNL,1.20.1270.20
1GNL,3.40.50.2030
1LI0,3.40.710.10
5Q2E,3.60.15.10
5Q2E,3.40.50.12650
4A2C,3.90.180.10
4A2C,3.40.50.720
1X1N,3.20.20.80
5JBN,3.40.50.620
4HDT,3.90.226.10
1UIF,1.10.530.10
2ZGR,2.60.120.200
2B13,2.70.70.10
3FTT,2.160.10.10
4MM2,3.90.920.10
2OCH,1.10.287.110
2Y3Q,1.20.1260.10
3T7D,3.40.50.2000
2RCZ,2.30.42.10
1BCX,2.60.120.180
2HIA,3.40.50.1240
3MGM,3.90.79.10
3W7V,3.40.50.1110
4REY,2.30.42.10
2VKI,2.30.29.30
3N02,2.60.110.10
5C55,3.20.20.70
2OQB,2.30.29.30
5ITQ,3.20.190.10
5ITQ,1.10.8.50
1BQR,2.60.40.420
6N3E,3.30.70.330
3ECU,2.60.40.200
1TFA,3.40.190.10
1IYS,3.40.710.10
5PGJ,1.20.920.10
3H9W,3.30.450.20
5IMC,3.40.30.10
6O44,3.40.50.200
3SSW,1.10.1270.10
5Z0E,1.10.1280.10
5Z0E,3.30.1880.10
1H0J,2.10.60.10
3LYP,3.40.30.10
3LYP,1.20.1050.10
3ZFP,2.30.140.40
1EHB,3.10.120.10
2XHV,3.30.70.270
2OA2,2.60.120.10
2R74,2.40.128.20
3ME7,3.40.30.10
2VI3,2.60.110.10
6FUQ,2.60.40.10
5Y4N,1.10.645.10
5Y4N,3.40.50.700
5Y4N,4.10.480.10
3TM8,1.10.3210.10
5KJP,3.90.226.10
5KJP,1.10.12.10
4TNL,3.10.170.10
4TNL,1.10.390.10
3DNJ,3.30.1390.10
2BPP,1.20.90.10
5PE4,1.20.920.10
2GK4,3.40.50.10300
3U1L,3.30.70.330
2ICI,3.10.20.120
2ICI,2.40.50.110
1C3P,3.40.800.20
1GZW,2.60.120.200
3EO9,2.60.40.10
1UGW,2.100.10.30
2BIB,3.60.15.10
3LB2,1.10.490.10
1UUQ,3.20.20.80
6LZM,1.10.530.40
5Q7B,3.60.15.10
5Q7B,3.40.50.12650
3FKW,3.40.710.10
3R62,2.10.70.10
2HUL,1.10.530.40
1M2A,3.40.30.10
2VBL,3.10.28.10
3FYQ,1.20.1420.10
2Y8N,3.20.70.20
2Y8N,2.20.70.100
3KT5,2.40.70.10
6DOG,3.30.420.10
5J49,3.90.550.10
2VPF,2.10.90.10
5PSU,1.20.920.10
3E0H,3.20.80.10
1MXE,1.10.238.10
5IYN,2.40.510.10
5IYN,2.40.30.120
4N6C,1.20.120.450
1PXW,3.30.1330.30
6EP6,3.40.30.10
6EP6,1.20.1050.10
3A6S,3.90.79.10
4UHT,1.10.10.10
3EHR,2.30.30.40
3EHR,1.25.40.20
2CJX,3.40.50.1460
2CJX,3.30.70.1470
3IPA,3.40.50.2300
4NNM,2.30.42.10
4UAF,1.25.10.10
4UAF,3.30.30.90
2AK5,2.30.30.40
6F4J,3.80.10.10
6F4J,3.30.70.330
2NZH,2.40.50.140
1H5G,1.10.520.10
1H5G,1.10.420.10
3JQ0,1.25.40.390
5I14,1.10.530.40
5XU7,3.90.470.20
3ZKM,2.40.70.10
3ZKM,2.60.40.10
3QY1,3.40.1050.10
1SOG,1.10.520.10
1SOG,1.10.420.10
5HVI,3.40.710.10
1V0A,2.60.120.430
4DK2,1.20.1680.10
4DK2,1.20.1670.10
1TP6,3.10.450.50
5Y9K,2.60.40.10
2FOB,2.40.10.10
3KMN,3.40.30.10
3KMN,1.20.1050.10
4PKZ,3.30.429.10
2GB7,3.40.91.80
2IOT,2.40.10.10
3PH2,1.10.760.10
1GQZ,3.10.310.10
2J89,3.30.1060.10
2BUM,2.60.130.10
1G2B,2.30.30.40
1KDA,2.40.50.90
1J2T,3.40.50.10310
3WP3,2.60.120.180
2IHF,2.40.50.140
1LZ8,1.10.530.10
1F6K,3.20.20.70
4ZJK,1.20.1260.10
1FNU,3.10.20.120
1FNU,2.40.50.110
5B0F,3.30.70.100
1T1E,3.40.50.200
4ZXE,2.60.120.260
3JXC,1.10.260.40
5IBW,1.10.238.10
3MXU,2.40.50.100
2HEA,1.10.530.10
5C15,3.30.420.240
1KW3,3.10.180.10
1MOH,1.10.490.10
1YD3,3.40.1440.10
3BTK,2.40.10.10
3BTK,4.10.410.10
1E3F,2.60.40.180
2J1R,2.60.120.260
4KZF,3.60.110.10
5PXR,3.30.40.10
5PXR,1.20.920.10
5PCJ,1.20.920.10
2GIJ,3.40.600.10
3POE,2.60.120.290
4NSJ,1.10.530.10
1LSQ,3.10.130.10
4ZH5,1.50.10.10
3WWF,2.40.10.500
4F7H,2.30.29.30
5P08,2.40.70.10
5HML,3.40.50.1010
5HML,1.10.150.20
4DB5,2.60.120.40
1ZNK,2.40.128.20
1TG9,3.10.200.10
1G0S,3.90.79.10
2B4F,1.50.10.10
3KYY,2.20.28.10
2BLP,3.10.130.10
1L91,1.10.530.40
4E4C,1.20.90.10
2W7A,3.30.70.1820
5F8Z,2.40.10.10
3AA6,3.30.1140.60
3AA6,3.90.1150.210
3AA6,1.20.58.570
1EW4,3.30.920.10
2WOK,3.40.190.10
2WOK,3.10.105.10
3D78,1.10.238.20
3Q1C,3.10.450.460
2EXH,2.115.10.20
2EXH,2.60.120.200
4EZG,3.80.10.10
5UEA,2.60.40.10
5UEA,2.60.40.1490
2H9B,3.40.190.10
2FY7,3.90.550.10
1QUH,1.10.530.40
3QWG,1.10.260.40
8RAT,3.10.130.10
3TWY,2.60.40.150
5FGB,2.60.40.10
5P7K,2.40.70.10
2DUC,2.40.10.10
2DUC,1.10.1840.10
5TWD,3.40.710.10
4A88,3.30.530.20
1BWI,1.10.530.10
4RDB,2.60.40.2580
4UDT,2.60.40.10
1IJB,3.40.50.410
2X8W,3.40.50.1380
1H8U,3.10.100.10
3WNI,2.60.40.420
3PTB,2.40.10.10
2V94,3.30.70.330
2NVH,2.80.10.50
1JK1,3.30.160.60
1WZD,1.20.910.10
4FFU,3.10.129.10
5AJH,3.40.50.1820
1SKG,1.20.90.10
4JND,1.10.1740.220
4JND,3.60.40.10
4MNV,2.40.10.10
5P55,2.40.70.10
3AVC,3.30.420.10
5OZJ,2.40.70.10
4KO3,1.10.645.10
4KO3,3.40.50.700
4KO3,4.10.480.10
2MEI,1.10.530.10
5C6Y,1.10.490.10
1BU3,1.10.238.10
1L04,1.10.530.40
1DMH,2.60.130.10
1ROP,1.10.287.230
1KUI,3.40.390.10
5GVR,3.40.50.300
1YBI,2.80.10.50
2E7A,2.60.120.40
4ECP,3.90.80.10
1RHB,3.10.130.10
1YPC,3.30.10.10
4EQJ,2.40.70.10
3NUF,1.10.1790.10
3X0G,1.10.1450.10
3CSP,2.60.40.10
6QH4,3.10.180.10
2V2M,1.20.1260.10
4XN6,1.10.530.10
4LDC,2.60.40.150
3T6R,3.30.40.10
3OV5,3.55.50.70
4N0T,3.30.70.330
2VXQ,2.60.40.760
2VXQ,2.60.40.10
5MFF,1.25.10.10
4G6M,2.80.10.50
4G6M,2.60.40.10
1TZW,1.10.940.10
5PFX,1.20.920.10
2DLF,2.60.40.10
3BPK,2.30.110.10
4GNW,2.40.128.20
3C90,1.10.287.1080
4KVF,3.40.50.2300
5PTR,1.20.920.10
1IAE,3.40.390.10
1LAW,3.30.420.10
1Z9O,2.60.40.10
2V07,1.10.760.10
2O60,1.10.238.10
4QMH,1.25.10.10
3OON,3.30.1330.60
3DMX,1.10.530.40
2QYC,3.30.70.100
3VWO,1.10.530.10
3VWO,2.10.70.40
1DYS,3.20.20.40
4RN7,3.40.630.40
1RFS,2.102.10.10
1BZ0,1.10.490.10
3WC6,3.40.630.10
1L51,1.10.530.40
4E0C,3.20.20.70
1RTM,3.10.100.10
2WRY,2.80.10.50
3Q4Q,1.20.1260.10
4L8D,3.30.500.10
4L8D,2.60.40.10
2EFN,1.10.10.10
2EFN,3.30.70.920
5Q6P,3.60.15.10
5Q6P,3.40.50.12650
3CJS,3.30.70.1170
3CJS,3.30.1550.10
3GRB,2.60.40.180
4LPN,1.20.1260.10
1JPU,3.40.50.1970
1JPU,1.20.1090.10
4QK2,3.10.200.10
3AK0,2.60.120.200
1QCN,2.30.30.230
1QCN,3.90.850.10
3QZU,3.40.50.1820
1JIG,1.20.1260.10
1T9P,2.20.28.10
3VU9,3.40.50.300
2FU7,3.60.15.10
4KTW,3.30.420.10
4BM3,1.10.520.10
4BM3,1.10.420.10
5P3K,2.40.70.10
1XYI,2.40.50.40
4DZP,1.10.10.60
4N5Q,1.25.40.20
3C03,3.40.1690.10
6IW3,2.40.240.130
4KMI,2.115.10.20
2DQC,2.60.40.10
2DQC,1.10.530.10
4Z86,3.40.50.1470
3NJ3,3.20.20.80
6GEE,2.70.50.80
6GEE,6.20.430.10
1IFB,2.40.128.20
4J9H,2.30.30.40
1PNC,2.60.40.420
6D45,1.10.490.10
5HUW,1.25.10.10
1ZAN,2.60.40.10
1QO2,3.20.20.70
5V8G,1.10.530.10
4JJD,2.30.30.40
1XW3,3.90.1530.10
5VPQ,3.40.710.10
2XXG,2.60.40.420
6E0S,3.60.15.10
1R3F,3.30.2350.10
1R3F,2.30.130.10
4KK3,3.40.50.2300
2W1R,3.30.450.40
1KXW,1.10.530.10
3IM9,3.40.366.10
3IM9,3.30.70.250
4BFL,2.40.180.10
4BFL,1.20.1370.20
4BFL,3.40.50.880
6Q38,1.10.510.10
6Q38,3.30.200.20
3GPS,2.60.40.180
5GRR,3.40.720.10
1YSQ,3.30.450.40
4PVN,2.60.40.180
4WIG,3.40.140.10
2PMA,2.40.70.10
6ETC,2.60.20.10
5ZH0,2.60.120.180
3QQX,2.60.40.420
1HH5,3.90.10.10
3HJ4,1.10.1410.10
3HJ4,3.30.460.10
2QN0,3.90.1240.10
3OR5,3.40.30.10
4HKH,2.30.110.20
4AQA,2.60.40.60
4AQA,2.60.40.3430
3VZ6,3.50.7.10
2R2D,3.60.15.10
4IL7,2.60.120.1300
3P6I,2.80.10.50
4KDL,2.40.40.20
4KDL,3.10.330.10
4KDL,3.10.20.90
4RLM,1.10.530.10
1GE0,1.10.530.10
4WG1,1.10.530.10
2EI5,3.30.70.2290
3H2Q,2.60.40.200
3WVT,2.10.50.10
6CBS,1.10.860.10
3NO0,2.120.10.90
4GHC,3.10.180.10
4GHC,4.10.1270.10
3EJI,2.40.50.90
4NPD,1.20.5.420
4CNN,3.20.20.70
4D73,3.40.30.10
3FK8,3.40.30.10
1HAN,3.10.180.10
1R1W,3.30.200.20
1R1W,1.10.510.10
3R3V,3.40.50.1820
3FY2,3.30.200.20
3FY2,1.10.510.10
5DPQ,2.40.128.20
5G1K,3.10.450.70
5G1K,3.40.30.10
5KXR,1.10.530.10
4IZX,2.80.10.50
1RBS,3.30.420.10
4IEP,2.60.120.10
5DIC,1.10.238.20
1IP7,1.10.530.10
5GIU,3.40.350.10
5GIU,3.90.230.10
4PMQ,3.20.20.80
3A64,3.20.20.40
2BWD,2.60.40.420
5UYW,3.40.50.1980
3LP4,3.40.800.10
4Z6L,3.10.180.10
4Z6L,4.10.1270.10
4D7Z,2.40.40.20
5CML,3.40.50.1820
4WND,1.25.40.10
4AOR,2.40.10.10
1V70,2.60.120.10
1CRN,3.30.1350.10
2XM4,1.20.120.10
3FDQ,1.20.120.1030
3P4Z,1.10.530.10
1JZO,3.10.450.70
1JZO,3.40.30.10
4K8M,3.40.30.10
5P6Y,2.40.70.10
6MT6,3.30.500.10
6MT6,2.60.40.10
4DHV,3.30.70.20
3MLR,2.60.40.10
4BI3,3.90.1720.80
4BI3,4.10.280.80
4OXF,3.10.130.10
3W5M,2.60.40.10
3W5M,2.60.120.260
3W5M,1.50.10.10
3W5M,2.60.420.10
1WKX,3.30.60.10
1J25,3.40.50.10130
4Z46,1.10.530.10
6A71,3.30.70.100
5PZI,3.30.40.10
5PZI,1.20.920.10
5PEA,1.20.920.10
3LIM,2.60.270.20
4QGY,2.60.40.10
5CY0,3.30.30.10
3LWG,3.10.129.10
4QUS,3.40.630.30
1FN6,2.40.10.10
3OBQ,3.10.110.10
3FP5,1.20.80.10
1VHS,3.40.630.30
3MX6,3.90.230.10
2TLX,3.10.170.10
2TLX,1.10.390.10
1P71,4.10.520.10
4W4K,1.10.287.850
4W4K,1.20.1260.20
4BWT,2.60.40.420
3KFH,2.40.128.20
4PDT,2.90.10.10
1C8U,3.10.129.10
2J13,3.20.20.370
5PX3,3.30.40.10
5PX3,1.20.920.10
3H58,1.10.490.10
4PRN,3.30.500.10
4PRN,2.60.40.10
1A92,4.10.220.40
1GXN,1.50.10.20
1Q3O,2.30.42.10
3SO8,1.25.40.20
4AFU,2.40.10.10
4AFU,2.30.30.40
2Z9J,2.40.10.10
2Z9J,1.10.1840.10
4ZEY,1.20.58.80
1NKG,2.70.98.10
1NKG,2.60.40.1120
1NKG,2.60.120.260
5CRI,3.40.50.1820
1HD5,2.40.40.10
1USH,3.60.21.10
1USH,3.90.780.10
2ZQT,2.20.70.10
2ZQT,3.10.50.40
1XSZ,1.10.220.20
1XSZ,1.10.1000.11
1XSZ,3.30.310.140
4HGH,1.10.630.10
3B7O,3.90.190.10
3G23,3.40.50.10740
3G23,3.50.30.60
3KD2,3.40.50.1820
3MQO,3.30.450.20
3FWH,3.40.50.1820
4J3Y,1.10.1170.10
3TYP,2.40.320.10
1W8K,3.50.4.10
4PP8,3.10.100.10
4PP8,3.30.500.10
2IT2,3.30.1960.10
1GV8,3.40.190.10
6GMP,3.10.50.40
5CB9,3.10.180.10
2YNO,2.130.10.10
5PQL,1.20.920.10
5EOV,3.40.50.150
3SHQ,3.10.20.90
3SHQ,3.40.50.1000
4AR9,3.40.30.160
4AR9,1.10.390.20
4AR9,3.30.980.50
2CHO,3.30.379.10
2CHO,3.20.20.80
2CHO,1.20.58.460
2QJW,3.40.50.1820
3T16,2.40.50.90
5JX4,2.40.50.140
5ZRQ,3.40.50.1820
2CVI,3.30.70.920
5HFF,2.30.42.10
4B6M,2.30.30.190
1OZW,1.20.910.10
1FS3,3.10.130.10
1HKH,3.40.50.1820
4BNW,3.40.50.720
5E56,2.60.40.10
4N92,3.40.710.10
5KTR,3.40.50.10800
3DXL,1.10.238.20
3DCD,2.70.98.10
1J7Y,1.10.490.10
1GOQ,3.20.20.80
