UniProtID,BestPDBID(s),BestRfree
A0A3Q0KJ78,5IOM,0.224
A0A3Q0KSG2,,
A0A3S8UVN5,6YDR,0.158
A0A411MR89,,
A0A452CS62,5NFL,0.175
A0A452CSQ2,6AW5,0.188
A0A482LRD5,,
A0A485PVH1,6YWF,0.189
A0A4P1LYH5,7C82,0.162
A0A4P1LYH6,"7C84, 7C2C",0.161
A0A4P1LYH7,7C85,0.192
A0A4Y1WAP5,5IAV,0.239
A0A4Y5JTU1,,
A0A4Y5PW22,,
A0A4Y5PW23,,
A0A4Y5R032,7DW3,0.235
A0A5B9,4WW1,0.196
A0A5C7ETD9,,
A0A5H1ZR38,6JBV,0.231
A0A5H2UYS3,,
A0A5Q5ADH9,6LFD,0.225
A0A6F8Z6Y2,7BWB,0.266
A0A6L7H2K2,7BKF,0.205
A0A6L7H6L8,4HCI,0.225
A0A6L7HA71,4AY3,0.197
A0A6L7HJC4,4IYH,0.341
A0A6L8PEJ7,,
A0A7J6KBZ0,4EIV,0.184
A0A7M7GUY7,,
A0A7M7KVA6,,
A0A7U9DT46,,
A0A840P3H4,,
A0A8V0ZED1,,
A0A9K2KQ72,5V23,0.278
A0AA45ZPU1,,
A0AEF3,5N5P,0.252
A0AEF4,5N5P,0.252
A0AEF5,4WKZ,0.219
A0B757,7C8O,0.235
A0EL75,4GNU,0.144
A0KHJ5,3OD9,0.205
A0LSH8,,
A0Q5Y3,6J9L,0.232
A0Q625,5EVG,0.278
A0QJI1,5IT0,0.294
A0QP43,6AJS,0.174
A0QQ72,3F8M,0.255
A0QTQ6,2JFS,0.174
A0QUZ2,5GGC,0.258
A0QWX6,4TM8,0.243
A0R1E8,5BP3,0.211
A0R2K6,5ZRP,0.222
A0R4Q6,4UAX,0.179
A0R5M8,4UY5,0.246
A0ZZH6,1R7A,0.183
A1A2J8,6NUM,0.294
A1B060,,
A1JMF7,5FPX,0.188
A1JSS7,2JD9,0.222
A1SR01,4LP1,0.285
A1SZA3,6HSQ,0.183
A1YIY3,5JUH,0.191
A1YYW7,3Q3Q,0.225
A1Z1Q3,6Y4Z,0.231
A1Z651,3P1G,0.193
A2D7D7,6BIO,0.262
A2DLL4,6LXQ,0.195
A2EGX9,4O57,0.327
A2FT29,5VWN,0.268
A2I2W2,3H8T,0.177
A2ICH1,,
A2KD57,,
A2NAI0,2APV,0.249
A2NHM3,3V4U,0.275
A2NUT2,3ZL4,0.254
A2QHE5,,
A2RJ53,3RYB,0.171
A2TLS9,,
A3DC29,,
A3DCH2,3PDG,0.271
A3DCJ4,4DH2,0.224
A3DEX4,5A8D,0.199
A3DF10,3KCP,0.227
A3DGE8,5K39,0.241
A3DHG6,3MPC,0.192
A3DJ30,,
A3DJS9,4UQ9,0.228
A3FJ64,4J5F,0.209
A3M692,,
A3QCW5,,
A3UNN4,4XZK,0.216
A3XHF9,,
A4DA31,6JQE,0.262
A4FTK7,4WCG,0.394
A4IL26,4YSU,0.204
A4ISV0,5DMD,0.213
A4K9Z8,5NZC,0.245
A4PEU6,4H7K,0.175
A4QUT2,,
A4SNL2,3MF4,0.271
A4TVL0,5OH2,0.222
A4VME5,,
A4WYU7,,
A4XF23,4K8G,0.131
A4XGA6,4Z4L,0.199
A4XXY9,5LTI,0.174
A4Y1H6,,
A4ZKM1,6FJN,0.16
A5FBI1,,
A5FBJ5,,
A5FCJ5,,
A5H660,,
A5H7Q8,5YKZ,0.161
A5HII2,3P5V,0.205
A5IKD4,,
A5IL00,,
A5IMX7,3PZQ,0.18
A5K1A2,,
A5U6L5,5YXF,0.192
A5VZY6,4JBD,0.317
A5W4E3,5HWV,0.232
A5YBJ8,4MKZ,0.217
A5YBL8,4FRU,0.151
A5YKK6,4CRW,0.212
A5ZY13,,
A6H6Y4,3HUV,0.203
A6KWT9,,
A6L7S9,,
A6LX94,3SNY,0.2
A6M2W4,,
A6M946,4W8G,0.272
A6PZ97,3MGW,0.196
A6Q234,4M51,0.141
A6T925,3O7K,0.243
A6VKV4,1YGG,0.186
A7B555,6RAB,0.363
A7B6A6,,
A7HD43,6OTD,0.228
A7KMF0,5XBU,0.142
A7LAI8,,
A7LXT8,,
A7UNK4,4NDT,0.151
A7XXR3,,
A7ZAJ3,,
A8AF35,6N01,0.246
A8AW49,7AVH,0.18
A8DG50,3M5N,0.257
A8DS27,,
A8JAR4,4XDI,0.245
A8K008,4O5L,0.242
A8MI53,4W8C,0.262
A8MW92,6L0X,0.187
A8NI40,,
A8TXX2,4S1X,0.355
A9CB96,4D1G,0.205
A9CEY6,7BBZ,0.209
A9CFB2,,
A9CGA5,,
A9CGI0,4RJZ,0.186
A9CI62,,
A9CQL4,4TO7,0.239
A9D857,4Z2P,0.215
A9DSJ8,,
A9ERX9,6GK5,0.216
A9JQL9,3VJD,0.199
A9PKC6,4B4N,0.279
A9UT73,6X1P,0.34
A9VCZ3,6X20,0.255
A9XG43,4FVB,0.242
B0B0V1,3K00,0.195
B0B9A0,6GZS,0.266
B0L7B0,5M28,0.147
B0RTN2,,
B0S4Q0,,
B0VHH0,,
B0Y813,,
B0YIU5,6V8L,0.312
B1FZ96,4KDU,0.213
B1IS70,4B5X,0.191
B1L4V6,3TA5,0.189
B1MDI3,6QOO,0.237
B1MHW4,6Z0R,0.198
B1PJV3,5NQ0,0.199
B1PWB9,5G2Z,0.224
B1VB62,4P7V,0.267
B1VBB0,4MB3,0.207
B1WPM8,,
B1YAL1,3T2F,0.166
B1ZMF4,6SYR,0.236
B2CZF3,,
B2FTM1,6UA1,0.232
B2G3C8,4KTU,0.184
B2J066,5OL7,0.205
B2J0I0,6R5Z,0.232
B2J821,5OL7,0.205
B2J981,,
B2J9B4,,
B2RHG1,5NF3,0.217
B2RHG5,6TO1,0.202
B2RID1,,
B2UHR8,3ZBM,0.166
B2UP57,6JEB,0.141
B2UR60,6Z2D,0.212
B2VCC3,6FRW,0.208
B2ZB02,,
B2ZHY7,6IWG,0.213
B2ZRS9,3NBD,0.141
B3A043,3H4X,0.141
B3CET4,4MGS,0.182
B3DQP5,6MPC,0.217
B3DUR4,6A2E,0.209
B3DUZ1,3WFX,0.251
B3DUZ7,3S1J,0.216
B3ECE3,6H99,0.184
B3EY95,5DW4,0.175
B3EYM8,,
B3FQS5,6CUN,0.169
B3LRE1,4OQ7,0.201
B3PC73,,
B3PD52,,
B3PDB1,3V4B,0.142
B3PEE6,,
B3PKK9,,
B3TKQ3,3M5N,0.257
B3U4H7,,
B3VH91,,
B3VI58,,
B3VMP4,6QYY,0.227
B3VS76,,
B3Y002,5KJO,0.162
B3Y018,3WA7,0.219
B4EH86,7BFY,0.237
B4EUU9,4Q11,0.261
B4EV65,6H2L,0.296
B4EXV8,4QSF,0.187
B4EZ68,4OCE,0.188
B4F366,7B1Z,0.202
B4F6I0,4A76,0.267
B4FCI7,6IS8,0.311
B4V386,4X9S,0.185
B4Y381,4JEL,0.21
B5CY74,,
B5DCA0,4AX0,0.185
B5GLC0,3GMX,0.145
B5HSR1,,
B5KM66,4R3Q,0.26
B5R541,,
B5THI3,4REJ,0.195
B5UBC1,6FUB,0.185
B6CHW7,3F7K,0.148
B6F0T7,5YRF,0.236
B6GXZ8,7BAE,0.185
B6JPK4,3UB7,0.147
B6SEG4,4EX7,0.17
B6TPH0,6BNX,0.205
B6YTD6,4YGS,0.174
B7FR29,5B5Y,0.191
B7PKZ1,3LH4,0.197
B7QK46,7D21,0.22
B7SCI5,5TGI,0.258
B7UZI4,,
B7X9Z2,,
B7XC04,4EIB,0.206
B7XH69,3VWO,0.233
B7ZYP9,7EEZ,0.299
B8FUR2,6SJP,0.224
B8HDZ1,,
B8HNS6,,
B8ZXI1,7B2I,0.196
B8ZY56,,
B9MKT4,4Z05,0.176
B9MKT7,5OFJ,0.176
B9MMA5,,
B9W5G6,4WDC,0.157
C0HM62,7F91,0.172
C0JV69,5EG5,0.261
C0SSE7,,
C0STU6,4E9V,0.157
C1CYP4,6RO6,0.207
C1DM33,,
C1F2K5,,
C1IFD2,4QVC,0.255
C1JI15,4EE9,0.177
C1JZ07,6CWC,0.266
C1K0Y1,6JTP,0.319
C3JYL7,6NFS,0.2
C3K802,5FCC,0.227
C3K8K1,4F1V,0.158
C3RYL0,7ECB,0.173
C3W5S1,3UYX,0.188
C4B644,5GNL,0.23
C4B8B8,6R8K,0.219
C4B8C2,6G11,0.242
C4LSE7,3JVI,0.262
C4LUC7,5XGG,0.238
C4LXT9,3MQW,0.176
C4M1P9,5UKI,0.215
C4N147,3PPT,0.17
C4XPJ9,,
C5A5N6,,
C5BJ89,6G00,0.158
C5BNC6,,
C5BSV8,,
C5CSP2,,
C5HDG5,,
C5MK56,3VFO,0.264
C5RBT0,4RK6,0.227
C6CRV0,4E4P,0.287
C6KT64,,
C6XF58,4CL2,0.191
C6XID6,6V70,0.2
C7BLE4,5MXH,0.212
C7C422,5WIG,0.213
C7F3P9,,
C7GP29,6DI6,0.15
C7LN88,,
C7MT25,4ICH,0.27
C7NZX0,4KVH,0.204
C7PVH9,4HVN,0.22
C7R4I0,5VG0,0.138
C8CHL4,3ZMO,0.255
C8CP57,5ZB7,0.227
C8V0B5,4G92,0.201
C9K1X5,4OMH,0.212
C9XTL5,6DGN,0.214
C9Z6T8,6VUV,0.22
C9ZP98,5FSU,0.21
D0C9L6,4FOP,0.293
D0CFC3,3UQN,0.194
D0E0C6,5AMW,0.267
D0E8I5,4MLM,0.202
D0EM77,4IN9,0.163
D0EWJ0,3VWC,0.193
D0LID5,5DJB,0.301
D0MDJ8,,
D0MDR1,6K1X,0.283
D0VV09,3N12,0.162
D0VWQ1,,
D0VWU8,2HKD,0.244
D0VWV3,1XQ5,0.299
D0VWX7,,
D0VWZ1,5NY2,0.24
D0X4R4,,
D1A230,5CB9,0.284
D1A7C3,6XTP,0.303
D1AC29,3SIJ,0.243
D1ADF2,6XTP,0.303
D1YK18,6NU7,0.19
D2J2T6,4G5X,0.176
D2JZX8,,
D2K7Z0,,
D2PPM8,7C27,0.236
D2UG58,,
D2W2Z5,6VT3,0.285
D2XML9,4W8A,0.136
D2YYE1,6A0J,0.18
D2Z025,6LUG,0.263
D2Z028,,
D3EID5,,
D3JCC5,,
D3RVD4,4WQC,0.2
D3U1H8,3VRF,0.173
D3U1H9,3VRF,0.173
D4GUF6,3PO0,0.194
D4HRL0,,
D4LAX7,6WQP,0.241
D4QAP5,,
D4S0D1,6HS8,0.189
D4Z2G1,2BFN,0.469
D4ZE39,5B6Q,0.254
D5DC07,3OM2,0.198
D5L9G5,6R8K,0.219
D5MNX7,3LDY,0.565
D5VRB9,6IA8,0.231
D6D1V7,,
D6EWM0,5LXZ,0.159
D6QLY0,,
D6RDG8,,
D6Y7Y6,3VC5,0.174
D7C0E5,,
D7GNB4,,
D7RK32,5C1J,0.238
D7Y2H5,,
D8S128,6DX8,0.257
D9IEF7,6PH0,0.206
D9MPF2,,
D9PZ08,,
E0QN07,5U6F,0.237
E0SCP7,,
E0XN39,,
E1BHM0,4KZW,0.259
E1C9K5,6DSY,0.261
E1XUJ2,,
E2E2L9,3WMI,0.241
E2EKP5,5NJO,0.19
E2FYL5,3W56,0.42
E2GHW5,4N4B,0.136
E3NZ06,4QPC,0.231
E3SET7,3OUL,0.194
E4S6E9,,
E4SK47,,
E5F0S0,7DHD,0.249
E5KIY2,5ZR8,0.147
E6N8B8,6FNO,0.221
E6N8B9,6FNO,0.221
E7BLH6,,
E7CH51,,
E7FCY1,4BXQ,0.266
E7FH76,3LN8,0.175
E9AE57,6UOI,0.199
E9AW84,,
E9KPB5,6Q76,0.328
E9LVH9,5LUL,0.174
E9PWQ3,,
E9Q238,5YAZ,0.234
E9Q401,4P9L,0.358
E9RJ22,,
F1LJ99,,
F1Q6N2,,
F2I8X9,,
F2L613,,
F2QVG4,5BN2,0.143
F2RGC9,6HSD,0.222
F2Z6J5,,
F2Z6J6,,
F2Z7L1,,
F3PPH3,,
F4K0X5,6L0V,0.213
F4MI11,5FLD,0.218
F4Y425,5DP1,0.234
F5HF68,4HLY,0.282
F6BL85,,
F6I323,,
F6IQS1,6TDR,0.408
F6KMV5,4ION,0.196
F6KV61,5HII,0.193
F6MZ55,4HDM,0.23
F6MZ56,4HDM,0.23
F6SIY5,5WF2,0.226
F7IX06,3WYN,0.214
F8JB59,5NYP,0.258
F8QQG5,3U3N,0.219
F8W4B7,5G0F,0.2
F8W669,2JIC,0.153
F9ULL2,,
F9VN79,2EHG,0.163
F9VNG5,5AVO,0.224
F9VNL8,4G2E,0.179
F9VPE5,1J30,0.182
F9ZFJ0,6E17,0.242
G0L5X4,4BQ1,0.163
G0L7V6,7ASZ,0.212
G0RQS7,6CYL,0.28
G0RZ08,7BMV,0.265
G0S0R0,4ZOY,0.176
G0S156,5HB8,0.242
G0S1P8,,
G0S3F2,6RY0,0.14
G0SAK3,5HB5,0.197
G0SB31,5D60,0.335
G0SC29,6QTA,0.214
G0SET4,4WP6,0.212
G0SG92,4X2O,0.211
G0SGL4,4X2O,0.211
G0SGU4,,
G0SHE6,6QTA,0.214
G1UBD5,6ZSK,0.2
G2IQS7,,
G2IQT9,6XMA,0.165
G2NFJ9,,
G2QJR6,4G4I,0.269
G2QVH7,5GLX,0.145
G3BK00,5V6I,0.189
G3G192,7BH3,0.308
G3I8R9,7A4U,0.215
G3J531,,
G3M189,,
G3MEU6,6IXX,0.245
G3XCX7,,
G3XCZ0,4IPV,0.189
G3XD33,3MOL,0.319
G3XD46,6HR4,0.206
G4T4R7,,
G4VGI0,,
G7K2D1,6BQ7,0.302
G7LSK3,,
G8JZS4,2D73,0.158
G8LU16,,
G8ULV1,6R7U,0.217
G8UQY8,5NCU,0.186
G9BEX6,,
G9BY57,4EB0,0.162
G9M5R4,,
G9MQD3,,
G9VYV4,5L40,0.25
H0SLX7,6ZAU,0.201
H0USY5,5UCQ,0.14
H1AAP2,3VRK,0.134
H2E7Q8,,
H2FH31,5F8S,0.144
H2L2L6,3Q46,0.153
H2QII6,4GA1,0.241
H2VFG5,6PPX,0.244
H3JQV6,3QM7,0.156
H3ZKG9,,
H6WYG2,5ODL,0.236
H7BRJ8,5DVJ,0.233
H7C745,,
H7C785,3W4P,0.138
H7FWB6,4NU3,0.23
H8ZZK1,4MN0,0.264
H9BG66,6SIF,0.261
H9BRQ7,6NIV,0.238
H9KVH3,,
H9TUK5,4ARS,0.204
H9ZNW0,,
I0B503,,
I0BZV0,5NYL,0.205
I1KHY6,4N6A,0.22
I1VWH9,5A2A,0.246
I2DBY1,5IKG,0.234
I3K8D3,6EWG,0.215
I3NWV8,6J6O,0.223
I3P686,6TOY,0.192
I3RJZ3,4FR7,0.177
I3VVC1,3W24,0.145
I3VXG7,,
I6NAW4,6QQ1,0.167
I6WU39,5B0D,0.259
I6X811,6E4D,0.202
I6X8D2,5V3Z,0.25
I6XFS7,6AIE,0.251
I6Y9J2,7A10,0.234
I6YB06,4K8M,0.152
I7AL37,5G3H,0.181
I7BFC3,5T2E,0.197
I7F541,6IO9,0.229
I7GAS0,6C33,0.211
I9SUA3,,
J7HBG8,5MUZ,0.276
J7I6Y1,5E0Q,0.216
J7K096,,
J7MFT5,5XNA,0.229
J9U5U9,6UH9,0.181
J9ULM6,4LY5,0.202
K0IUV6,,
K1QRB6,5MH0,0.168
K4L9I6,,
K4LC41,5YN5,0.304
K5B7Z4,,
K5BDL0,,
K7IM66,5K4C,0.19
K7N5M0,4AM2,0.174
K7N5M4,6BJ3,0.221
K7N5M5,6RP5,0.204
K7N5M6,6RP5,0.204
K7N5N2,6AT6,0.206
K7ZP88,3WPR,0.327
K9N5Q8,5GSV,0.238
K9TVX3,,
L0DSL2,,
L0NML6,6ESV,0.236
L5K3Y9,6K7U,0.21
L7PYQ2,,
M1E1F6,,
M1HE54,6L5U,0.208
M4GGR7,,
M4T4U9,5XK3,0.235
M4T5D3,,
N1P8Q8,5K62,0.209
O00182,3NV1,0.194
O00189,4MDR,0.222
O00213,2HO2,0.228
O00214,3VKN,0.253
O00244,7DC1,0.197
O00255,4GQ6,0.181
O00267,5OHO,0.241
O00299,3UVH,0.239
O00370,1VYB,0.213
O00401,4CC7,0.227
O00481,4F80,0.294
O00482,4PLD,0.224
O00512,,
O00560,1N99,0.238
O00571,2JGN,0.264
O00602,2JHH,0.209
O00625,4HLT,0.208
O00757,5K54,0.243
O00762,4YII,0.235
O02372,,
O04073,,
O04379,4G0X,0.277
O04708,4MBT,0.225
O05512,,
O05935,,
O06441,1LZL,0.159
O06553,1XXO,0.217
O06624,4JXB,0.201
O06644,,
O06662,5ECW,0.281
O06741,2GDQ,0.211
O06825,4K73,0.232
O06842,,
O06976,1MU4,0.179
O06994,,
O07347,2J46,0.187
O07535,7AGY,0.251
O07653,1UXZ,0.187
O08734,,
O08807,3WGX,0.142
O08808,4UWX,0.197
O08838,,
O13368,,
O13437,2FSS,0.212
O13658,6E33,0.475
O13795,6TZN,0.225
O13833,,
O13988,5USN,0.29
O14352,6PPN,0.345
O14490,6TQ0,0.287
O14593,3V30,0.165
O14607,,
O14641,5SUY,0.442
O14686,3UVK,0.167
O14727,,
O14733,6YFZ,0.217
O14745,4PQW,0.263
O14746,5MEO,0.216
O14770,3K2A,0.244
O14786,1KEX,0.225
O14907,4NNM,0.234
O14936,6NH9,0.278
O14964,3ZYQ,0.381
O15047,,
O15075,1MG4,0.191
O15091,4XGM,0.26
O15151,3JZQ,0.225
O15164,3O35,0.207
O15169,1EMU,0.216
O15263,1FD4,0.207
O15264,,
O15294,6EOU,0.219
O15350,5HOC,0.224
O15357,5OKP,0.364
O15460,6EVP,0.217
O15530,,
O15540,7E25,0.182
O16025,,
O16259,,
O19626,2CIK,0.199
O22267,5LNM,0.27
O22321,5EXG,0.269
O22969,,
O23346,4MU1,0.172
O24646,5KWN,0.244
O24782,,
O25100,4LJR,0.277
O25318,,
O25554,4LSY,0.257
O25896,,
O26232,3M47,0.259
O26314,3FZI,0.24
O26745,1MGQ,0.252
O27564,4L74,0.295
O27725,4FZP,0.172
O28163,2JHJ,0.202
O28314,,
O28362,1TSF,0.225
O28415,6YUD,0.288
O28511,,
O28751,1HJZ,0.198
O28769,4CQ4,0.252
O28889,3OV8,0.213
O28951,6T5T,0.3
O29141,2B3M,0.208
O29280,1SW4,0.222
O29285,2B2I,0.294
O29759,6FSW,0.281
O29883,1Z0C,0.233
O29917,4AXQ,0.196
O30077,,
O30142,,
O30700,,
O30881,4EID,0.152
O31168,1A7U,0.145
O31518,4R6K,0.257
O31602,3IHQ,0.288
O31691,3GWH,0.263
O31815,5ONK,0.148
O31851,1S4I,0.273
O32218,3EU3,0.182
O32221,3I9Z,0.262
O32509,5H7F,0.209
O33272,4IHU,0.229
O33599,2B0P,0.198
O33833,,
O33840,2J71,0.247
O33897,1H0B,0.152
O34153,3FLC,0.206
O34340,,
O34667,1IE0,0.19
O34714,1L3J,0.151
O34790,1VIZ,0.207
O34798,6H8L,0.189
O34925,4D98,0.19
O34928,1W17,0.203
O35002,4C2C,0.25
O35744,1VF8,0.174
O35904,,
O41094,3KMJ,0.264
O42191,1M8S,0.203
O42978,6PPN,0.345
O43189,5XFO,0.241
O43323,3N1G,0.216
O43324,4BVY,0.217
O43426,1W80,0.212
O43464,5TO0,0.29
O43504,6B9X,0.215
O43521,4B4S,0.252
O43602,5IP4,0.227
O43707,6OA6,0.193
O43719,6N3D,0.188
O43765,4GOE,0.274
O43776,4ZYA,0.244
O43791,6I41,0.285
O43809,3N9U,0.214
O43818,4J0W,0.199
O43924,4JHP,0.179
O44342,2C0G,0.254
O46162,3TVJ,0.199
O48503,3ZHI,0.206
O48791,4DJG,0.218
O49003,6NTP,0.221
O49429,5MPX,0.219
O49908,"2CJ5, 2CJ7, 1RJ1",0.197
O50580,,
O50665,4CBE,0.236
O50835,6N1L,0.241
O53168,3PBC,0.165
O53193,5XUR,0.206
O53223,4HU2,0.213
O53706,,
O54161,,
O54259,3KG0,0.236
O54288,,
O54709,1HQ8,0.218
O55012,,
O55013,1WC8,0.253
O55043,2AK5,0.25
O55128,4A90,0.259
O55236,1I9S,0.185
O55778,6K7T,0.212
O57385,1MC2,0.119
O57413,1KUI,0.191
O57767,5KTM,0.226
O57883,2HNI,0.227
O57975,1VCT,0.245
O58001,4E2T,0.222
O58236,5H4G,0.208
O58246,2DEC,0.16
O58307,3RFN,0.205
O58376,,
O58462,2CZ5,0.195
O58690,1WZC,0.23
O58720,1UMJ,0.228
O58796,2IT2,0.28
O58925,4DM1,0.189
O59021,2D5D,0.284
O59071,2D7J,0.21
O59072,2DPL,0.217
O59196,1XFO,0.2
O59257,2FKO,0.186
O59580,2DVP,0.31
O59651,,
O59893,,
O60200,4YTW,0.202
O60260,5C1Z,0.233
O60341,5IT3,0.176
O60462,5DN2,0.231
O60573,5XLN,0.2
O60673,4EXT,0.263
O60784,1WRD,0.243
O60844,,
O60880,1D1Z,0.155
O60885,6U74,0.338
O60895,6V2E,0.207
O60911,,
O60939,5FEB,0.265
O61734,5F6A,0.26
O64094,5Y24,0.366
O64527,3WJE,0.215
O66186,,
O66187,,
O66188,,
O66264,,
O66472,3MCJ,0.233
O66496,1T99,0.229
O66511,,
O66512,5SZE,0.215
O66646,,
O66990,1XRT,0.207
O67206,6SYY,0.249
O67466,2EGR,0.221
O67503,"2E8E, 2E8F",0.208
O67504,5Z25,0.262
O67518,5Z41,0.256
O67528,3ZTO,0.175
O67610,,
O67611,2EHT,0.196
O67633,,
O67680,3FTC,0.254
O67854,"3F4I, 3F48",0.197
O67938,3ME7,0.199
O68014,3M1E,0.231
O68522,2I6F,0.244
O68541,,
O68601,5ONX,0.213
O68692,1ZW0,0.261
O68720,6DR7,0.246
O68840,4UJ7,0.176
O68880,4IMH,0.265
O69052,5O2J,0.179
O69061,6GHQ,0.211
O69230,4XUN,0.234
