uniprot_id,frequency,pdb_ids
A0A0B4ND47,1,7BWF
A0A0B5H9B3,5,"6XOF,6XQF,6XQH,6XQL,6XQM"
A0A0B5KGV8,1,4Q3K
A0A0B5KQQ5,1,4Q3O
A0A0B5KUB4,1,4Q3N
A0A0B5LB55,1,7DBI
A0A0B6VPP7,1,5GS8
A0A0B7GNW3,1,7O5Y
A0A0B7GRV8,1,7OA7
A0A0B8QZ66,1,6VGS
A0A0B8RFI6,1,5SXO
A0A0C0C2K2,1,6D0P
A0A0C2W9F0,1,4ZA6
A0A0C4DI32,1,5OD4
A0A0C5AQI9,1,6J66
A0A0C5GWS2,5,"6JEQ,6JFJ,6JFX,6JHF,6JHG"
A0A0C5PVE3,1,6F7D
A0A0C5XKJ0,2,"6D0H,6D0I"
A0A0C5XL88,2,"6D0H,6D0I"
A0A0D1DWQ2,1,6FPG
A0A0D2H023,1,5XWZ
A0A0D2UG83,1,7NY6
A0A0D5NT23,1,7F5W
A0A0D5X2Y8,1,6R45
A0A0D5YE19,1,5EO6
A0A0D5YGK2,1,6ET6
A0A0D5YHU7,1,6ACS
A0A0D5YKJ7,1,5URB
A0A0D5YKR4,1,5DL7
A0A0D6CBA8,1,5ZV9
A0A0D6GJV1,1,7KAV
A0A0D6H805,1,4P04
A0A0D6HIR7,1,7O4M
A0A0D6I3Y9,1,7E3Y
A0A0D6IF67,2,"6A02,6A07"
A0A0D6IV69,1,6DIN
A0A0D9RBI8,1,3X0G
A0A0E1CHI1,3,"4R7W,4R85,4R88"
A0A0E1CQ35,1,5V91
A0A0E2IV13,2,"6XPH,6XPJ"
A0A0E3CPJ0,1,6J98
A0A0E3GTJ4,1,5N41
A0A0E3K9N8,2,"5ITJ,5ITM"
A0A0E3URV8,1,5NCH
A0A0E3ZCF3,5,"6Y63,7B6S,7B6T,7B6U,7B6V"
A0A0E4B1P1,1,5F4O
A0A0E4B213,2,"6P4B,6P4C"
A0A0F5HNH9,1,6N63
A0A0F6AN26,1,3JXO
A0A0F6AR69,1,4HZC
A0A0F6AW83,1,4EW7
A0A0F6AWM7,1,4G2P
A0A0F6AZQ4,1,1K3S
A0A0F6B1U8,1,4EXK
A0A0F6B281,1,4P7B
A0A0F6N4U7,1,6KWL
A0A0F6R9G3,1,7M5I
A0A0F6WGE1,2,"5GMR,5GMS"
A0A0F7G196,1,8TJI
A0A0F7J3Q3,1,6XRR
A0A0F7PV22,1,5GT1
A0A0F8R9A0,1,7CAQ
A0A0F8V8L2,1,5YED
A0A0F9XM91,1,5JBO
A0A0G2JF94,4,"5M00,5M01,5M02,6G9Q"
A0A0G2LB96,2,"7N4K,7N5C"
A0A0G3FEJ8,1,5D8M
A0A0G3FEK2,1,5IBZ
A0A0G4QN87,1,7E52
A0A0H2UKZ3,1,4RHA
A0A0H2UKZ5,1,4S12
A0A0H2UMY0,1,5MLT
A0A0H2UMZ7,1,2PQV
A0A0H2UN19,2,"4E8C,4E8D"
A0A0H2UN21,1,2POK
A0A0H2UN22,1,2AH5
A0A0H2UN25,1,3I0Z
A0A0H2UN41,1,4FFJ
A0A0H2UN46,1,4E94
A0A0H2UN73,1,2GNP
A0A0H2UN92,1,6JF1
A0A0H2UNG0,1,2YA0
A0A0H2UNM0,1,4OQ1
A0A0H2UNM7,3,"2X9W,2X9X,2X9Z"
A0A0H2UNQ9,2,"2W1J,2WTS"
A0A0H2UNS1,1,3NBM
A0A0H2UNT6,1,2WW8
A0A0H2UNW2,1,1G2R
A0A0H2UNZ8,1,2UZ0
A0A0H2UP26,2,"4EVM,4HQS"
A0A0H2UP67,1,1Z72
A0A0H2UP74,1,4NT9
A0A0H2UPA7,2,"3OBH,5ZKM"
A0A0H2UPC8,1,2FI1
A0A0H2UPL4,1,2HIY
A0A0H2UPM3,1,3GO5
A0A0H2UPQ2,1,4FF5
A0A0H2UPR5,1,4HQZ
A0A0H2UPY9,1,2IDL
A0A0H2UQ30,1,1VQZ
A0A0H2UQ68,6,"1NXO,1NXP,1NXW,1NXX,6EB7,6EBR"
A0A0H2UQ78,1,2GK4
A0A0H2UQ81,1,2B06
A0A0H2UQ89,1,2CS7
A0A0H2UQ91,1,4OEN
A0A0H2UQE4,1,4YZ1
A0A0H2UQU7,1,2HSJ
A0A0H2UQV3,1,2HNG
A0A0H2UR34,2,"3O90,3O94"
A0A0H2UR98,1,4IAJ
A0A0H2URA0,1,4HFQ
A0A0H2URD6,2,"5G5Y,5G60"
A0A0H2URJ7,2,"2HEU,2HQ0"
A0A0H2URM1,1,6EWJ
A0A0H2URW2,1,1SQS
A0A0H2US34,3,"2J1R,2J22,2WMF"
A0A0H2US48,1,4C24
A0A0H2US72,1,3FB9
A0A0H2US73,1,5A6J
A0A0H2US78,1,6ORG
A0A0H2UT30,1,4KT6
A0A0H2UTN5,1,4KT6
A0A0H2UUG0,1,4NSM
A0A0H2UWN1,1,8P6K
A0A0H2UWN8,3,"6CKA,7N10,7N1N"
A0A0H2UYY2,2,"3E9Q,3F5S"
A0A0H2V3I0,1,5LP9
A0A0H2V4A7,1,3LHX
A0A0H2V4H2,1,3ED4
A0A0H2V5A3,1,6BEA
A0A0H2V5I6,1,6WGQ
A0A0H2V6Y9,1,3F5Q
A0A0H2V857,1,3OGH
A0A0H2VDN9,1,4BWR
A0A0H2VHQ2,1,3IWF
A0A0H2VTI6,1,3C8D
A0A0H2VX33,1,2INW
A0A0H2W6Z9,1,4RWE
A0A0H2W7Q5,1,4S24
A0A0H2WBM4,1,3E99
A0A0H2WCF8,1,3LOU
A0A0H2WF95,1,3I09
A0A0H2WFM6,1,6MQH
A0A0H2WM30,1,6SE1
A0A0H2WR29,1,6ERJ
A0A0H2WVW5,3,"5TRO,5TT1,7O4C"
A0A0H2WW38,1,2XMZ
A0A0H2WWB5,1,2OKT
A0A0H2WX20,1,3T41
A0A0H2WX25,1,4Q7G
A0A0H2WXM0,1,3P8K
A0A0H2WY27,4,"6C39,6C3K,6DZ8,7KCV"
A0A0H2WZ98,1,2IHY
A0A0H2WZL3,1,3III
A0A0H2X069,1,2D5K
A0A0H2X6W0,1,2F8H
A0A0H2XBX7,1,6LTF
A0A0H2XEV3,1,6TV1
A0A0H2XGN0,1,7EC1
A0A0H2YN38,1,5KDN
A0A0H2YNR7,1,5FQE
A0A0H2YQB3,2,"2VMH,2VMI"
A0A0H2YQR1,1,5TSP
A0A0H2YRL1,1,4TXW
A0A0H2YSI2,2,"4GD5,4Q8R"
A0A0H2YST8,3,"4LKS,4LPL,4LQR"
A0A0H2YT71,1,2VO8
A0A0H2YTW6,1,4EDP
A0A0H2YU83,1,4I0W
A0A0H2YU91,1,4A3Z
A0A0H2YWG9,1,4E9L
A0A0H2Z874,1,4ECI
A0A0H2Z9V8,1,7MQ5
A0A0H2ZD27,21,"3KD2,3KDA,3PI6,4DLN,4DM7,4DMC,4DMH,4DMK,4DNF,4DNO,4EHB,4EUS,5TND,5TNI,5TNJ,5TNK,5TNL,5TNM,5TNN,5TNQ,5TNS"
A0A0H2ZE85,1,5A6Q
A0A0H2ZNA4,1,7MQ3
A0A0H2ZPL4,1,4F2E
A0A0H2ZQ91,1,4F2F
A0A0H2ZTL3,1,3OC7
A0A0H2ZUQ2,1,3P85
A0A0H2ZWD1,1,3OI9
A0A0H2ZY59,1,3QLJ
A0A0H2ZY91,1,3RD7
A0A0H3ADN9,1,6JIE
A0A0H3AES3,1,5AVE
A0A0H3AFM6,1,6EIB
A0A0H3AFW5,3,"4I2N,4I4N,5JZM"
A0A0H3AGE3,1,3TGV
A0A0H3AIE8,1,2FCK
A0A0H3AIH3,1,4G7X
A0A0H3AJ04,2,"6IFQ,6IJ2"
A0A0H3AJJ8,1,5WEC
A0A0H3AKH0,1,6MIC
A0A0H3ALA8,1,4LRQ
A0A0H3AME7,1,6EHD
A0A0H3AQ75,1,4X54
A0A0H3AQB6,1,5DWM
A0A0H3ATY4,1,5ER6
A0A0H3ATZ3,1,7JFN
A0A0H3B1Q8,1,4F8C
A0A0H3B2F9,1,3ZRD
A0A0H3BY62,1,4ES8
A0A0H3C5N2,1,3U7V
A0A0H3C7V4,1,4CZI
A0A0H3C9J4,2,"5YIU,5Z7I"
A0A0H3CA70,2,"2XIT,2XJ4"
A0A0H3CDG5,1,3U2A
A0A0H3CJW2,1,6B8W
A0A0H3CKN4,1,7KB2
A0A0H3CM13,1,5VU3
A0A0H3CN11,1,6AZI
A0A0H3CVZ6,1,5YSM
A0A0H3FJT8,2,"8U8W,8U90"
A0A0H3FPU4,1,8U9B
A0A0H3FR62,2,"8SBN,8SBO"
A0A0H3FXS4,1,8SBW
A0A0H3G0N3,2,"5GUQ,5GUS"
A0A0H3G2U5,1,3NOL
A0A0H3G6B0,1,4O5O
A0A0H3G7M3,1,4ED9
A0A0H3GA96,1,6NQ4
A0A0H3GIZ6,1,5L2V
A0A0H3GJB6,1,5KZT
A0A0H3GJF7,1,7F39
A0A0H3GU89,2,"8K8K,8K8L"
A0A0H3H219,4,"4PM6,4PM8,4PMA,7Q0Z"
A0A0H3HIJ5,1,7O23
A0A0H3HP34,1,5I7E
A0A0H3JH39,1,4CKK
A0A0H3JKI3,1,3PT5
A0A0H3JM89,2,"3EIW,3EIX"
A0A0H3JNB0,1,6H1J
A0A0H3JNF1,1,4GGG
A0A0H3JNP6,1,5XGT
A0A0H3JPF2,1,6KNH
A0A0H3JPM4,3,"3T46,3T47,3T48"
A0A0H3JR67,1,4H0A
A0A0H3JRR0,2,"3T8R,3T8T"
A0A0H3JSC0,1,2QX2
A0A0H3JSF1,1,4QPV
A0A0H3JSM9,1,4PEO
A0A0H3JSZ8,1,1Y7R
A0A0H3JT72,1,4PIA
A0A0H3JTC8,1,3E48
A0A0H3JTE8,1,3IV4
A0A0H3JTG5,1,1P99
A0A0H3JTJ5,1,5YU2
A0A0H3JTP0,1,4C5J
A0A0H3JTS7,1,4NNO
A0A0H3JU78,2,"6JIS,6JIW"
A0A0H3JUY4,1,2AJ6
A0A0H3JV59,1,1KQ1
A0A0H3JVL5,1,2AP3
A0A0H3JWL8,1,3NTV
A0A0H3JX79,1,4EBG
A0A0H3JX93,1,3H04
A0A0H3JYD9,1,4LUA
A0A0H3JZ23,1,3T49
A0A0H3JZ73,1,3FYM
A0A0H3JZJ4,1,4DR8
A0A0H3JZY6,1,4LQZ
A0A0H3K0M1,2,"1YN4,6VTM"
A0A0H3K0Y5,1,3LUR
A0A0H3K0Z1,1,3O66
A0A0H3K164,1,3NUR
A0A0H3K3S3,1,1ZJC
A0A0H3K6A3,1,4DXF
A0A0H3K7Y1,1,3ORS
A0A0H3K9J4,1,3KOJ
A0A0H3K9Z0,1,4TV5
A0A0H3KA72,1,3HSR
A0A0H3KB98,1,5J46
A0A0H3KDL9,1,5TQI
A0A0H3KFN7,1,7L2A
A0A0H3KGN3,1,5UOF
A0A0H3KHT8,1,5TQV
A0A0H3KJG7,1,4YLE
A0A0H3KN52,2,"3W4Q,7D5J"
A0A0H3KNC4,3,"4DLF,4DLM,4DO7"
A0A0H3KNE7,1,4GKB
A0A0H3KPJ4,1,6NBO
A0A0H3KXJ8,1,5UMH
A0A0H3LBN6,1,4W4K
A0A0H3LBR3,1,4W4K
A0A0H3LGE5,1,3HFT
A0A0H3LHY8,1,4JJ9
A0A0H3LJT0,1,2QYC
A0A0H3LK92,1,3BCW
A0A0H3LKE5,1,1ZN6
A0A0H3LKK6,1,6AU1
A0A0H3LMU1,1,4N4U
A0A0H3LP08,1,4YZZ
A0A0H3LPN1,1,3H1N
A0A0H3LT39,1,3H12
A0A0H3LTD0,1,3BYQ
A0A0H3LUZ2,1,4LGO
A0A0H3LW83,1,3E60
A0A0H3LX82,1,4XG0
A0A0H3LXD5,1,3GIP
A0A0H3M034,2,"3IRS,3K4W"
A0A0H3M325,1,3LB5
A0A0H3M3F4,1,3NE8
A0A0H3M584,1,3QAT
A0A0H3M6H9,1,3GIR
A0A0H3M6W8,1,3LV0
A0A0H3M7U0,1,7AKC
A0A0H3MBU8,1,6UXC
A0A0H3MBV9,3,"4QAQ,4QAS,4QFB"
A0A0H3MBY2,1,3QH6
A0A0H3MDU0,1,6MAB
A0A0H3MDW1,1,3Q7R
A0A0H3ND95,1,5IHF
A0A0H3NPR7,1,6MUQ
A0A0H3NPU3,1,6OVW
A0A0H3PA01,8,"3LZL,3LZN,3LZO,3LZP,3LZQ,5I0V,5I0W,6WED"
A0A0H3PAQ3,2,"6XJ6,6XJ7"
A0A0H3PAZ9,1,8T4C
A0A0H3PBA4,1,3ZX1
A0A0H3YGY5,5,"6ZNY,6ZNZ,6ZO1,6ZO2,6ZO3"
A0A0H4B872,1,4UHH
A0A0H4ITX1,1,5Z1V
A0A0H4IWK3,1,5EE2
A0A0H5BL38,4,"5GLK,5GLL,5GLM,5GLN"
A0A0J1PJ79,1,5XVD
A0A0J4VP90,1,5GY3
A0A0J7JFD7,1,6PI8
A0A0J7XEF9,1,5KVB
A0A0J8GWN9,1,7DRQ
A0A0J9WZA6,2,"3PHL,3PID"
A0A0J9X1M8,1,4OGD
A0A0J9X1Z5,2,"3WTR,4PDN"
A0A0J9X200,1,4S1W
A0A0J9X241,1,4UM7
A0A0J9X260,1,4XFK
A0A0J9X263,1,4XIN
A0A0J9X276,1,4XPK
A0A0J9X278,1,4XVH
A0A0J9X279,1,4XXF
A0A0J9X284,1,4YIC
A0A0J9X285,1,4YL5
A0A0J9X290,1,4YWN
A0A0K0K1A5,3,"2BNQ,2BNR,2BNU"
A0A0K0KAD3,1,6MNQ
A0A0K0PV22,1,5XTU
A0A0K2VM55,1,6EHN
A0A0K6ITW2,2,"6GII,6LDL"
A0A0K8P6T7,24,"5XFY,5XFZ,5XG0,5XJH,5YFE,5YNS,6EQD,6EQE,6EQF,6EQG,6EQH,6IJ3,6IJ4,6IJ5,6IJ6,6ILW,6ILX,6KUO,6KUQ,6KUS,6KY5,7CQB,7CY0,7OSB"
A0A0K8P8E7,4,"6QZ1,6QZ2,6QZ3,6QZ4"
A0A0K8RCY5,1,7AHP
A0A0K8RJ89,1,7B2T
A0A0K8RMA7,1,7PK4
A0A0K9H482,1,6NVX
A0A0L6JMH4,1,7CG8
A0A0L7RG06,1,6ML1
A0A0L8SKF9,1,7E1F
A0A0M3G7Q5,1,6OM5
A0A0M3KKU7,1,4D7W
A0A0M3KKV1,1,4PC1
A0A0M3KKY6,3,"4UHC,4UHD,4UHE"
A0A0M3KKY8,1,4UZG
A0A0M3KKY9,1,4W64
A0A0M3KKZ6,1,4WTP
A0A0M3KL00,1,4X8Q
A0A0M3KL01,1,4XAB
A0A0M3KL07,1,4XY5
A0A0M3KL15,1,4Y7L
A0A0M3KL16,1,4Y7M
A0A0M3KL18,1,4Y96
A0A0M3KL28,1,4Z0T
A0A0M3KL30,1,4YLD
A0A0M3KL37,1,4ZR8
A0A0M3KL39,1,4ZRF
A0A0M3KL43,1,5A0L
A0A0M3KL46,1,5A12
A0A0M3KL47,1,5A13
A0A0M3KL50,3,"5A9G,6GSB,6GSC"
A0A0M3KL51,1,5AFO
A0A0M3KL60,2,"5FJD,5FJE"
A0A0M3PNA2,6,"5Z7Y,5Z82,5Z89,5Z8P,5Z95,7C8L"
A0A0M3Q1Q3,1,5C05
A0A0M4APJ4,1,6J2R
A0A0M4AV81,1,5Z7W
A0A0M4FJ81,13,"5MKM,5O4I,5O4Q,6FC7,6RH9,6RHQ,6S0O,6ZIJ,7PEN,7PES,7PFR,7PTM,7PUH"
A0A0M4UW33,1,5YAL
A0A0M7CBI0,1,6YGQ
A0A0M7FD65,1,6OSX
A0A0N0D484,3,"7OAA,7OAF,7OAH"
A0A0N9JNY6,2,"6YHM,6YHN"
A0A0N9JT91,1,5H94
A0A0P0E482,1,5VBK
A0A0P0FIE8,1,7DUP
A0A0P0FW82,1,6U4Z
A0A0P0QFX8,1,5XLJ
A0A0P0QM28,1,6L4V
A0A0Q2QQ54,1,6IAH
A0A0Q3EUQ3,1,6MVR
A0A0R3W9T8,1,8UJW
A0A0R4I968,1,4WOG
A0A0R4I970,1,4XL3
A0A0R5NGA4,2,"5Y5D,5Y6Y"
A0A0R5P8X1,3,"5KLC,5KLE,5KLF"
A0A0R6L508,2,"5GRR,5LRM"
A0A0R6PCL0,1,7DU0
A0A0R8HV90,1,7P0U
A0A0S0VKY7,2,"6H9W,6H9Z"
A0A0S1VWZ1,1,5IU1
A0A0S2DN74,1,8SRZ
A0A0S2E5N6,1,4Z39
A0A0S2GKZ1,15,"7PQR,7PTZ,7PXW,7PYL,7PYM,7PYN,7PYO,7PYP,7PYQ,7PYU,7PYW,7PYX,7PYY,7PYZ,7PZ0"
A0A0S2T163,1,7MS0
A0A0S2UQQ5,5,"6SHY,6SRD,6SUD,6TO0,6TRH"
A0A0S4IKF4,1,6TLY
A0A0S4TJL4,1,6Q5A
A0A0S4TKQ5,1,6LTW
A0A0S8FF56,1,7M59
A0A0T9TPS2,1,8Q57
A0A0U1R0I0,1,5N40
A0A0U1RGY0,1,6VLB
A0A0U1X4V6,1,6KJH
A0A0U2E2J7,1,4UFQ
A0A0U3AGT1,1,5KO5
A0A0U3H1E6,1,5WUD
A0A0U3IB62,1,6MK6
A0A0U3JM87,1,5ZJL
A0A0U4DG08,1,5GJB
A0A0U4HUZ5,1,5V3S
A0A0U5FM15,1,7MW8
A0A0W7VXC1,1,6UBD
A0A0W8ATM9,12,"6FIY,6FKS,6FKT,6FL2,6RPD,6RPE,6RQY,6RR1,6RR4,6RR5,6RR6,6RR8"
A0A0X1KHD1,3,"5AO9,5AOA,5AOB"
A0A0X8GJ44,4,"5KVD,5KVF,5KVG,5YGH"
A0A0X8K1J2,1,5UTT
A0A0Y0A4Z5,1,6TM8
A0A0Y0BMD0,1,5DBQ
A0A0Y0DFX2,2,"5HQ4,5HQB"
A0A109PRQ3,1,5WZ3
A0A109PTH9,2,"6BYP,6JQ9"
A0A117IMA6,1,5K5C
A0A124H109,1,6A4X
A0A125R585,2,"6J2F,6K7T"
A0A125RN64,1,7CHQ
A0A125SA24,2,"5UHJ,5UMQ"
A0A125SA29,2,"5UJP,5UMP"
A0A125SJ78,1,5EQW
A0A125T908,1,5VXR
A0A125W693,1,6M76
A0A140DYJ4,1,7QQI
A0A140E9J7,1,6CKY
A0A140EDM8,1,6ICE
A0A140EH91,1,7DV7
A0A140H546,1,6BXR
A0A140HJ20,1,7AYP
A0A140LI67,1,5ZDS
A0A140NAP5,1,4MMJ
A0A140T913,10,"6O4Y,6O4Z,6O51,6O53,7MJ6,7MJ7,7MJ8,7MJ9,7MKB,7P3D"
A0A140TAH5,1,7OIT
A0A140UH31,2,"4V1K,4V1L"
A0A140UHB4,2,"4Y2K,4Y2M"
A0A140UHX1,1,8SIU
A0A142J6I6,3,"6QIN,6QLA,6ZL7"
A0A143T1U9,1,7BY8
A0A143ZZR8,1,7D2W
A0A146CJG7,1,5JWH
A0A146CJH9,1,5MFX
A0A147JZ41,1,6NZX
A0A151GCU7,1,6ZPP
A0A157L8Q0,1,6VVR
A0A158RFR1,1,5CAD
A0A158RFT6,1,5ICU
A0A159BDB5,1,5JS4
A0A160MIM0,1,7E0N
A0A160P685,1,7DI3
A0A162MUP0,1,6ZDW
A0A166E508,1,6FDG
A0A169B8J1,1,6DXN
A0A172QPU7,1,5KON
A0A173N065,3,"6M4K,6M4L,6M4M"
A0A173VPY3,1,7KV2
A0A174CQK8,1,6D6W
A0A174J845,1,7PZG
A0A175VLQ4,1,6FM6
A0A175WC91,1,7JMR
A0A178EUH2,1,7P1V
A0A179QS89,1,6ZMB
A0A179UGT5,4,"6UAY,6UAZ,6UB0,6UB1"
A0A182DW06,1,4YYQ
A0A182DW07,1,4YYR
A0A182DW08,1,4YYS
A0A182DW20,2,"4Z3H,4Z3I"
A0A182DWB2,1,5CE6
A0A182DWC8,1,5FFN
A0A182DWE5,2,"5JXM,5K9M"
A0A191KW82,1,6DX2
A0A191KWB3,1,6DX1
A0A192ICX3,2,"5WUL,5WVA"
A0A193DU83,1,6L77
A0A1A5DB13,2,"6BJT,6BJU"
A0A1A7BFR5,1,6K8S
A0A1A9TA69,1,4ZS9
A0A1A9TA81,1,5FU5
A0A1A9TAB8,1,4ZZE
A0A1A9TAF3,1,5AOS
A0A1A9TAF4,2,"5AOT,5FU3"
A0A1A9TAH8,1,5CA6
A0A1B0UHJ4,1,5KCG
A0A1B1ESM0,1,6IJ1
A0A1B1H1K0,1,5JKJ
A0A1B1Y779,1,8YA6
A0A1B3EB36,1,6M5N
A0A1B3SN05,1,6EXP
A0A1C3NEV1,1,5MX9
A0A1C5SD84,1,6IV9
A0A1C7D1B2,1,5JW8
A0A1C7D1B5,1,5KVK
A0A1C7DQ98,1,6QY6
A0A1C9CIU0,1,5KYO
A0A1C9HA64,1,6KI9
A0A1C9V3S9,2,"5E46,5E4D"
A0A1D1UCW7,1,7DF2
A0A1D1UN89,1,5Z4G
A0A1D1V896,1,5ZIQ
A0A1D1VNB4,1,7BWH
A0A1D1VPD8,1,7DBU
A0A1D5B367,1,5EZ2
A0A1D5B380,1,5H0Q
A0A1D5B387,1,5JQF
A0A1D6GNR3,1,6FPG
A0A1D8PEJ2,1,6AKZ
A0A1D8PGB7,1,5UCC
A0A1D8PIS4,1,5HUS
A0A1D8PNF5,2,"6KND,6KNE"
A0A1D8PQ86,4,"2Y7L,2Y7M,2Y7O,2YLH"
A0A1D8PT56,1,5VKW
A0A1D8PTP9,1,5U2L
A0A1E1FFN6,1,5XGZ
A0A1E3M5S3,1,6MPR
A0A1E3MC83,1,6C49
A0A1E5TT85,3,"5X2J,6M30,7DDW"
A0A1E9VP98,2,"6BNC,6BND"
A0A1E9VR34,2,"7LI0,7LI1"
A0A1F3DVA5,1,7B4O
A0A1F4JXW8,1,7CWQ
A0A1F8A906,2,"7BQJ,7BQP"
A0A1H1MMX0,1,6GCZ
A0A1H7TQR5,1,6HWJ
A0A1I6NU60,1,7QJP
A0A1I9GEP2,4,"5ARM,5NQM,5NQN,5NQO"
A0A1I9GEQ4,1,5DVH
A0A1I9GEQ5,2,"5E1W,5E20"
A0A1I9GEQ7,1,5E1X
A0A1J6PBD5,2,"7PQ7,7PQ8"
A0A1J6UFJ6,1,7PQF
A0A1K1L6W4,2,"6NRP,7CAW"
A0A1K2FZ20,1,6N98
A0A1L1QJZ7,2,"5GLV,5GM0"
A0A1L1QK06,1,5ICQ
A0A1L1QK12,1,5JTS
A0A1L1QK15,1,5JUF
